,Rank,Name+Seed,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2
11,12,BYU 3,MWC,32-5,+23.22,117.5,11,94.3,29,70.2,17,+.055,46,+7.04,43,106.8,49,99.8,34,+3.59,62
83,84,Wofford 14,SC,21-13,+8.17,112.3,44,104.2,189,63.2,275,-.024,239,-0.59,164,104.0,134,104.6,214,+6.96,23
51,52,UCLA 7,P10,23-11,+13.57,108.7,80,95.1,36,65.5,163,+.033,95,+6.92,46,107.3,38,100.4,56,+0.26,153
44,45,Michigan St. 10,B10,19-15,+15.08,109.5,73,94.4,30,65.0,186,+.010,152,+13.70,1,111.0,2,97.3,1,+6.70,25
16,17,Florida 2,SEC,29-8,+20.61,115.8,20,95.2,38,62.5,300,+.038,84,+7.73,33,106.8,47,99.1,19,+1.55,110
131,132,UC Santa Barbara 15,BW,18-14,+3.15,103.7,164,100.5,112,64.1,241,+.002,174,+0.29,149,104.1,126,103.9,175,+6.12,33
3,4,Pittsburgh 1,BE,28-6,+27.08,120.6,4,93.5,24,61.8,315,-.023,236,+8.17,31,107.6,32,99.4,24,-3.68,254
35,36,Butler 8,Horz,28-10,+16.46,112.3,43,95.9,46,63.5,262,+.033,94,+6.11,57,106.4,61,100.3,54,+6.67,26
31,32,Kansas St. 5,B12,23-11,+17.42,111.1,56,93.6,25,66.4,106,+.010,149,+9.23,19,108.5,21,99.3,21,+0.73,135
5,6,Wisconsin 4,B10,25-9,+25.84,122.3,2,96.5,52,56.9,344,-.003,191,+10.81,11,110.0,9,99.2,20,-3.58,253
36,37,Gonzaga 11,WCC,25-10,+16.45,112.1,45,95.6,44,66.1,126,-.007,199,+3.82,80,106.4,62,102.6,115,+4.50,51
11,12,BYU 3,MWC,32-5,+23.22,117.5,11,94.3,29,70.2,17,+.055,46,+7.04,43,106.8,49,99.8,34,+3.59,62
51,52,UCLA 7,P10,23-11,+13.57,108.7,80,95.1,36,65.5,163,+.033,95,+6.92,46,107.3,38,100.4,56,+0.26,153
16,17,Florida 2,SEC,29-8,+20.61,115.8,20,95.2,38,62.5,300,+.038,84,+7.73,33,106.8,47,99.1,19,+1.55,110
