Name+Seed,Rank,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Wichita St. 1,5,MVC,34-0,.9399,117.7,8,92.7,10,65.0,245,+.009,160,.5254,129,105.1,131,104.2,147,.5697,93,1,0,0,0,0,0
Cal Poly 16,173,BW,13-19,.4697,103.2,197,104.3,164,60.2,347,-.059,308,.5653,111,107.0,72,104.5,170,.7416,9,0,0,0,0,0,0
Kentucky 8,17,SEC,24-10,.8844,114.9,19,96.3,34,66.0,195,-.060,310,.6880,27,108.4,32,101.2,28,.5994,67,1,1,1,1,1,0
Kansas St. 9,44,B12,20-12,.8041,108.0,104,95.5,25,65.4,230,+.012,150,.6667,44,109.0,12,102.6,88,.4002,296,0,0,0,0,0,0
Saint Louis 5,34,A10,26-6,.8286,104.6,176,91.2,8,67.2,130,+.024,124,.6019,88,106.1,100,102.3,80,.4681,205,1,0,0,0,0,0
North Carolina St. 12,66,ACC,21-13,.7462,113.6,28,103.4,144,66.1,192,+.081,24,.6721,41,107.6,54,101.1,25,.4149,285,0,0,0,0,0,0
Louisville 4,2,Amer,29-5,.9515,117.4,10,90.6,6,68.9,58,-.044,276,.5710,108,105.9,106,103.3,106,.3976,299,1,1,0,0,0,0
Manhattan 13,67,MAAC,25-7,.7434,106.0,139,96.7,42,69.5,44,-.003,191,.4884,166,105.0,136,105.4,212,.5927,71,0,0,0,0,0,0
Massachusetts 6,52,A10,24-8,.7859,108.4,94,96.8,43,71.6,14,+.053,71,.6748,37,107.1,68,100.5,11,.6412,43,0,0,0,0,0,0
Tennessee 11,13,SEC,21-12,.8968,113.5,29,94.1,16,63.3,312,-.097,341,.6646,46,107.5,56,101.3,36,.5544,110,1,1,0,0,0,0
Duke 3,7,ACC,26-8,.9126,124.4,2,101.4,102,66.0,196,-.026,240,.7095,7,108.5,23,100.4,8,.5749,91,0,0,0,0,0,0
Mercer 14,99,ASun,26-8,.6578,107.5,116,101.6,103,65.0,246,+.007,163,.3635,293,102.7,269,107.9,307,.6150,58,1,0,0,0,0,0
Texas 7,39,B12,23-10,.8137,109.5,78,96.3,36,68.2,83,+.086,20,.6835,31,109.2,9,102.1,69,.4451,242,1,0,0,0,0,0
Arizona St. 10,47,P12,21-11,.8009,108.3,97,96.0,27,69.3,53,+.019,135,.6637,48,107.6,51,101.4,46,.4378,251,0,0,0,0,0,0
Michigan 2,14,B10,25-8,.8935,122.3,3,101.6,104,62.8,327,+.055,67,.7220,4,108.5,25,99.8,4,.5143,153,1,1,1,0,0,0
Wofford 15,184,SC,20-12,.4482,100.9,237,102.8,131,62.0,339,+.024,126,.3603,298,103.2,238,108.5,325,.6799,24,0,0,0,0,0,0
Florida 1,3,SEC,32-2,.9476,115.8,17,90.0,5,63.2,316,+.059,53,.6764,35,107.6,53,100.9,17,.5720,92,1,1,1,1,0,0
Albany 16,177,AE,18-14,.4582,101.9,225,103.4,143,63.2,313,-.002,187,.3657,291,101.0,329,106.0,248,.5337,133,0,0,0,0,0,0
Colorado 8,64,P12,23-11,.7502,105.9,141,96.2,32,66.4,171,+.110,8,.6872,28,108.2,38,101.0,23,.5274,138,0,0,0,0,0,0
Pittsburgh 9,18,ACC,25-9,.8841,115.1,18,96.5,37,64.0,292,-.047,285,.6665,45,107.1,69,100.8,15,.4175,284,1,0,0,0,0,0
VCU 5,12,A10,26-8,.8972,107.9,106,89.4,2,70.6,21,-.044,278,.6375,68,106.7,79,101.6,53,.5520,111,0,0,0,0,0,0
Stephen F. Austin 12,59,Slnd,31-2,.7642,111.6,47,100.8,95,63.6,304,+.051,73,.3075,341,101.5,316,108.9,334,.4060,289,1,0,0,0,0,0
UCLA 4,16,P12,26-8,.8885,116.8,14,97.5,49,70.1,33,-.015,219,.6575,54,107.9,45,101.9,62,.4266,266,1,1,0,0,0,0
Tulsa 13,68,CUSA,21-12,.7430,105.3,162,96.0,28,68.5,73,-.025,237,.5214,135,104.4,165,103.6,117,.5995,66,0,0,0,0,0,0
