,Rank,Name+Seed,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2
9,10,Kentucky 1,SEC,27-5,+23.35,113.5,26,90.1,7,66.1,151,+.031,87,+8.97,16,108.3,16,99.3,21,+3.47,67
255,256,Florida A&M 16,MEAC,15-17,-9.35,98.9,239,108.3,257,70.9,15,+.005,156,-9.84,306,96.9,305,106.7,293,+1.67,120
59,60,Washington 8,P10,19-12,+10.78,113.1,30,102.3,152,73.5,1,+.031,88,+6.16,52,106.6,58,100.4,63,+2.14,107
45,46,UAB 9,CUSA,22-10,+13.63,108.1,79,94.5,25,70.7,20,+.019,120,+5.34,75,105.8,83,100.4,62,+1.60,122
23,24,Providence 5,BE,20-9,+18.32,112.3,40,93.9,21,65.0,196,+.003,165,+8.80,21,107.9,25,99.1,19,+4.05,59
81,82,Pacific 12,BW,25-8,+8.93,108.6,76,99.7,99,63.6,249,+.096,12,+0.28,150,103.4,164,103.1,147,+3.56,66
17,18,Kansas 4,B12,24-9,+20.89,112.3,38,91.4,13,69.4,40,+.017,125,+10.39,11,109.2,10,98.8,15,+6.53,30
62,63,Illinois Chicago 13,Horz,24-8,+10.39,107.5,86,97.1,54,64.6,208,+.037,78,-0.52,171,103.6,153,104.1,182,-2.97,236
36,37,Boston College 6,BE,24-10,+15.42,110.5,55,95.1,34,62.6,282,+.045,64,+7.21,35,106.2,73,99.0,18,-2.14,218
44,45,Utah 11,MWC,24-9,+14.13,110.1,60,96.0,42,58.8,317,+.064,36,+4.45,87,106.8,50,102.3,121,-0.97,188
7,8,Georgia Tech 3,ACC,28-10,+24.69,113.5,28,88.8,4,69.1,49,+.008,148,+13.74,3,110.8,2,97.1,5,+0.97,138
83,84,Northern Iowa 14,MVC,21-10,+8.78,107.4,92,98.6,77,64.8,201,+.022,111,+2.45,114,103.9,147,101.4,96,-1.91,212
33,34,Michigan St. 7,B10,18-12,+15.66,117.2,11,101.5,129,64.0,232,-.014,198,+8.92,19,107.1,39,98.2,10,+7.60,19
19,20,Nevada 10,WAC,25-9,+20.27,112.3,39,92.0,15,68.7,58,-.039,251,+7.09,38,107.6,32,100.5,66,+4.97,48
6,7,Gonzaga 2,WCC,28-3,+25.34,120.8,3,95.5,36,66.6,128,+.013,136,+3.28,105,105.5,94,102.2,116,+7.00,23
151,152,Valparaiso 15,MCon,18-13,+0.53,100.1,212,99.6,96,69.2,47,+.068,33,-1.31,189,104.7,118,106.0,267,+0.85,139
9,10,Kentucky 1,SEC,27-5,+23.35,113.5,26,90.1,7,66.1,151,+.031,87,+8.97,16,108.3,16,99.3,21,+3.47,67
45,46,UAB 9,CUSA,22-10,+13.63,108.1,79,94.5,25,70.7,20,+.019,120,+5.34,75,105.8,83,100.4,62,+1.60,122
81,82,Pacific 12,BW,25-8,+8.93,108.6,76,99.7,99,63.6,249,+.096,12,+0.28,150,103.4,164,103.1,147,+3.56,66
17,18,Kansas 4,B12,24-9,+20.89,112.3,38,91.4,13,69.4,40,+.017,125,+10.39,11,109.2,10,98.8,15,+6.53,30
36,37,Boston College 6,BE,24-10,+15.42,110.5,55,95.1,34,62.6,282,+.045,64,+7.21,35,106.2,73,99.0,18,-2.14,218
7,8,Georgia Tech 3,ACC,28-10,+24.69,113.5,28,88.8,4,69.1,49,+.008,148,+13.74,3,110.8,2,97.1,5,+0.97,138
19,20,Nevada 10,WAC,25-9,+20.27,112.3,39,92.0,15,68.7,58,-.039,251,+7.09,38,107.6,32,100.5,66,+4.97,48
6,7,Gonzaga 2,WCC,28-3,+25.34,120.8,3,95.5,36,66.6,128,+.013,136,+3.28,105,105.5,94,102.2,116,+7.00,23
45,46,UAB 9,CUSA,22-10,+13.63,108.1,79,94.5,25,70.7,20,+.019,120,+5.34,75,105.8,83,100.4,62,+1.60,122
17,18,Kansas 4,B12,24-9,+20.89,112.3,38,91.4,13,69.4,40,+.017,125,+10.39,11,109.2,10,98.8,15,+6.53,30
7,8,Georgia Tech 3,ACC,28-10,+24.69,113.5,28,88.8,4,69.1,49,+.008,148,+13.74,3,110.8,2,97.1,5,+0.97,138
19,20,Nevada 10,WAC,25-9,+20.27,112.3,39,92.0,15,68.7,58,-.039,251,+7.09,38,107.6,32,100.5,66,+4.97,48
17,18,Kansas 4,B12,24-9,+20.89,112.3,38,91.4,13,69.4,40,+.017,125,+10.39,11,109.2,10,98.8,15,+6.53,30
7,8,Georgia Tech 3,ACC,28-10,+24.69,113.5,28,88.8,4,69.1,49,+.008,148,+13.74,3,110.8,2,97.1,5,+0.97,138
7,8,Georgia Tech 3,ACC,28-10,+24.69,113.5,28,88.8,4,69.1,49,+.008,148,+13.74,3,110.8,2,97.1,5,+0.97,138
0,1,Duke 1,ACC,31-6,+32.33,120.8,2,88.5,3,67.7,94,-.028,232,+12.59,7,109.5,7,96.9,4,+2.42,94
265,266,Alabama St. 16,SWAC,16-15,-10.72,93.8,295,104.5,180,61.4,304,+.023,108,-12.06,320,94.6,320,106.7,292,+0.53,148
26,27,Seton Hall 8,BE,21-10,+17.35,112.3,37,95.0,31,65.4,180,-.004,178,+7.85,29,107.2,36,99.4,23,-1.14,193
31,32,Arizona 9,P10,20-10,+16.18,118.5,7,102.3,151,73.0,6,-.072,296,+5.72,63,106.7,55,101.0,80,+4.60,53
12,13,Illinois 5,B10,26-7,+22.11,117.8,8,95.7,39,63.5,252,+.055,47,+8.13,26,107.7,28,99.5,26,+2.52,89
60,61,Murray St. 12,OVC,28-6,+10.62,110.5,56,99.9,101,68.7,59,+.064,38,-3.80,233,103.1,180,106.9,296,+1.25,131
15,16,Cincinnati 4,CUSA,25-7,+21.56,116.1,13,94.5,26,66.7,127,+.003,163,+5.62,66,105.6,90,100.0,41,-0.28,172
84,85,East Tennessee St. 13,SC,27-6,+8.60,104.4,140,95.8,41,73.2,3,+.016,130,-2.39,214,102.2,210,104.6,201,+0.64,147
10,11,North Carolina 6,ACC,19-11,+23.23,117.4,10,94.1,23,70.9,16,-.091,311,+13.85,2,110.2,4,96.4,2,+2.76,79
35,36,Air Force 11,MWC,22-7,+15.42,111.4,47,96.0,43,51.9,326,+.025,101,+0.58,143,103.3,170,102.8,138,-10.49,318
16,17,Texas 3,B12,25-8,+21.54,115.6,16,94.1,22,64.7,206,+.038,72,+9.27,14,109.1,11,99.8,35,+0.80,143
107,108,Princeton 14,Ivy,20-8,+4.86,106.3,106,101.4,127,56.4,325,+.033,85,-4.32,240,100.2,254,104.6,200,-0.07,166
20,21,Xavier 7,A10,26-11,+20.16,113.8,21,93.6,20,64.1,230,-.022,219,+7.19,36,107.5,33,100.3,58,+2.75,81
18,19,Louisville 10,CUSA,20-10,+20.44,107.1,94,86.6,1,67.4,106,-.079,303,+7.09,39,107.0,43,99.9,37,+4.23,57
13,14,Mississippi St. 2,SEC,26-4,+21.74,114.7,18,92.9,17,68.1,82,+.021,114,+6.38,48,106.3,69,99.9,39,-1.89,210
193,194,Monmouth 15,NEC,21-12,-3.99,98.1,251,102.1,145,66.0,155,+.112,5,-6.71,264,100.6,246,107.3,308,+2.53,88
0,1,Duke 1,ACC,31-6,+32.33,120.8,2,88.5,3,67.7,94,-.028,232,+12.59,7,109.5,7,96.9,4,+2.42,94
26,27,Seton Hall 8,BE,21-10,+17.35,112.3,37,95.0,31,65.4,180,-.004,178,+7.85,29,107.2,36,99.4,23,-1.14,193
12,13,Illinois 5,B10,26-7,+22.11,117.8,8,95.7,39,63.5,252,+.055,47,+8.13,26,107.7,28,99.5,26,+2.52,89
15,16,Cincinnati 4,CUSA,25-7,+21.56,116.1,13,94.5,26,66.7,127,+.003,163,+5.62,66,105.6,90,100.0,41,-0.28,172
10,11,North Carolina 6,ACC,19-11,+23.23,117.4,10,94.1,23,70.9,16,-.091,311,+13.85,2,110.2,4,96.4,2,+2.76,79
16,17,Texas 3,B12,25-8,+21.54,115.6,16,94.1,22,64.7,206,+.038,72,+9.27,14,109.1,11,99.8,35,+0.80,143
