Name+Seed,Rank,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
North Carolina 1,4,ACC,28-6,.9407,119.5,4,94.0,16,72.0,48,-.043,283,.7210,16,109.3,9,100.6,32,.5742,99,1,1,1,1,1,0
Florida Gulf Coast 16,174,ASun,20-13,.4686,102.7,182,103.8,173,67.2,259,-.034,265,.3653,301,103.2,197,108.3,350,.4824,199,0,0,0,0,0,0
USC 8,49,P12,21-12,.7946,112.4,37,99.9,90,72.0,49,-.012,206,.6691,47,107.2,50,100.8,44,.4609,226,0,0,0,0,0,0
Providence 9,46,BE,23-10,.7991,107.9,93,95.7,28,69.4,143,+.044,76,.6563,55,106.8,57,101.0,48,.4353,256,1,0,0,0,0,0
Indiana 5,14,B10,25-7,.8959,119.0,7,98.7,66,68.8,179,-.003,183,.6137,73,106.5,64,102.3,102,.4152,278,1,1,0,0,0,0
Chattanooga 12,107,SC,29-5,.6557,105.1,149,99.4,77,67.0,265,+.119,7,.4389,219,104.0,154,106.2,283,.5308,148,0,0,0,0,0,0
Kentucky 4,8,SEC,26-8,.9198,122.3,1,98.9,70,67.6,241,-.035,269,.6892,31,106.9,54,99.8,11,.5991,67,1,0,0,0,0,0
Stony Brook 13,91,AE,26-6,.6979,105.8,131,98.4,61,67.4,252,+.032,99,.3755,290,102.8,226,107.4,337,.6381,37,0,0,0,0,0,0
Notre Dame 6,39,ACC,21-11,.8131,117.8,10,103.7,172,65.8,316,+.033,95,.6962,26,108.7,20,101.1,51,.4720,216,1,1,1,0,0,0
Michigan 11,56,B10,22-12,.7778,112.7,35,101.0,116,66.7,287,+.016,130,.6715,46,107.7,39,101.2,59,.4551,235,0,0,0,0,0,0
West Virginia 3,6,B12,26-8,.9236,114.8,23,92.4,6,70.5,93,+.008,157,.7499,5,109.4,8,99.5,8,.5318,145,0,0,0,0,0,0
Stephen F. Austin 14,33,Slnd,27-5,.8378,110.4,61,95.7,27,68.3,207,+.025,108,.3538,311,101.9,272,107.3,335,.6360,38,1,0,0,0,0,0
Wisconsin 7,32,B10,20-12,.8390,110.0,67,95.3,24,64.3,341,-.031,255,.7006,25,108.0,33,100.3,22,.5441,131,1,1,0,0,0,0
Pittsburgh 10,45,ACC,21-11,.8024,112.7,33,99.8,86,66.3,299,+.003,172,.6734,44,108.7,19,102.0,95,.3298,332,0,0,0,0,0,0
Xavier 2,15,BE,27-5,.8946,115.8,18,96.2,36,72.9,29,+.067,36,.6729,45,106.5,63,100.0,15,.5336,142,1,0,0,0,0,0
Weber St. 15,132,BSky,26-8,.5717,102.6,184,100.0,92,67.9,227,-.003,182,.3514,315,102.3,252,107.9,347,.5312,147,0,0,0,0,0,0
Kansas 1,1,B12,30-4,.9503,118.9,8,92.0,5,69.7,127,+.062,39,.7630,2,109.6,6,99.0,4,.5782,93,1,1,1,0,0,0
Austin Peay 16,212,OVC,18-17,.3819,104.4,166,108.9,274,70.4,98,+.058,45,.4289,230,104.2,146,106.8,320,.5427,133,0,0,0,0,0,0
Colorado 8,55,P12,22-11,.7788,106.6,115,95.5,26,69.8,124,+.026,106,.6654,50,108.0,30,101.8,81,.4454,247,0,0,0,0,0,0
Connecticut 9,25,Amer,24-10,.8677,110.4,62,93.7,13,66.3,298,-.040,276,.6068,77,105.5,86,101.6,76,.4586,232,1,0,0,0,0,0
Maryland 5,23,B10,25-8,.8725,113.8,26,96.3,37,68.0,221,+.006,165,.6789,39,107.3,49,100.5,27,.4759,211,1,1,0,0,0,0
South Dakota St. 12,80,Sum,26-7,.7209,109.1,79,100.5,108,68.9,164,+.015,132,.4942,159,103.4,182,103.6,148,.5618,106,0,0,0,0,0,0
California 4,21,P12,23-10,.8767,111.3,47,93.8,15,68.8,181,-.051,297,.6769,40,108.2,27,101.4,70,.4593,230,0,0,0,0,0,0
Hawaii 13,61,BW,27-5,.7635,107.0,105,96.6,41,71.2,67,+.009,152,.4064,256,100.8,313,104.2,172,.2975,342,1,0,0,0,0,0
Arizona 6,16,P12,25-8,.8927,116.1,17,96.5,40,69.2,151,-.033,262,.6304,70,106.1,69,101.3,63,.3871,304,0,0,0,0,0,0
Wichita St. 11,12,MVC,24-8,.9005,108.9,81,89.9,1,67.0,267,-.080,333,.5367,122,102.1,261,100.8,39,.6524,26,1,0,0,0,0,0
Miami FL 3,13,ACC,25-7,.8971,117.2,12,97.1,44,66.8,281,+.054,53,.7335,11,109.5,7,100.3,23,.5401,136,1,1,0,0,0,0
Buffalo 14,131,MAC,20-14,.5727,105.1,148,102.5,148,73.0,25,+.055,49,.5318,126,105.7,82,104.5,190,.5618,105,0,0,0,0,0,0
Iowa 7,20,B10,21-10,.8832,114.4,25,95.9,31,69.9,116,-.099,342,.6870,33,108.3,24,101.2,56,.5254,152,1,0,0,0,0,0
