Name+Seed,Rank,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Villanova 1,2,BE,30-4,+31.41,127.4,1,96.0,22,68.3,168,-.018,222,+10.23,20,111.3,19,101.1,30,+4.11,64,1,1,1,1,1,1
Radford 16,170,BSth,22-12,-0.05,103.6,203,103.6,133,62.7,346,+.044,69,-4.43,268,102.7,278,107.1,244,+4.01,69,0,0,0,0,0,0
Virginia Tech 8,32,ACC,21-11,+16.64,115.0,39,98.4,54,68.7,144,-.003,180,+8.18,49,109.9,44,101.7,52,-9.57,344,0,0,0,0,0,0
Alabama 9,51,SEC,19-15,+13.83,108.5,115,94.6,13,68.8,137,+.000,173,+11.03,10,111.0,24,100.0,8,+3.02,85,1,0,0,0,0,0
West Virginia 5,13,B12,24-10,+21.77,119.2,14,97.4,39,69.0,117,-.009,197,+10.48,18,109.9,43,99.5,2,-4.24,297,1,1,0,0,0,0
Murray St. 12,59,OVC,26-5,+12.70,113.1,56,100.4,82,67.3,216,-.013,208,-4.19,261,102.8,275,107.0,237,-0.76,183,0,0,0,0,0,0
Wichita St. 4,20,Amer,25-7,+20.07,121.9,5,101.9,107,68.6,149,-.015,215,+5.55,74,107.9,78,102.3,64,+2.05,108,0,0,0,0,0,0
Marshall 13,114,CUSA,24-10,+5.38,109.3,96,103.9,144,74.8,6,+.040,80,-1.67,184,104.8,175,106.4,204,-6.83,334,1,0,0,0,0,0
Florida 6,23,SEC,20-12,+18.71,115.1,37,96.4,25,66.8,239,-.049,294,+10.74,14,110.7,32,100.0,7,+4.49,54,1,0,0,0,0,0
St. Bonaventure 11,69,A10,25-7,+11.20,112.3,59,101.1,94,69.2,109,+.077,25,+2.20,101,107.0,98,104.8,121,+1.43,128,0,0,0,0,0,0
Texas Tech 3,12,B12,24-9,+21.94,114.0,46,92.1,3,66.6,248,-.021,236,+9.26,37,110.4,38,101.1,34,-5.12,312,1,1,1,0,0,0
Stephen F. Austin 14,111,Slnd,28-6,+5.56,105.0,177,99.4,67,71.1,48,+.037,85,-7.58,330,100.8,330,108.4,312,-2.05,225,0,0,0,0,0,0
Arkansas 7,37,SEC,23-11,+15.63,117.3,19,101.7,103,69.7,90,+.062,41,+10.15,22,111.0,25,100.9,25,+1.30,135,0,0,0,0,0,0
Butler 10,25,BE,20-13,+17.87,115.8,32,97.9,48,67.8,189,-.037,271,+10.58,17,111.9,7,101.3,42,+0.27,157,1,0,0,0,0,0
Purdue 2,5,B10,28-6,+26.67,123.2,2,96.6,28,67.2,219,+.003,167,+8.55,44,109.3,54,100.8,22,+0.91,145,1,1,0,0,0,0
Cal St. Fullerton 15,153,BW,20-11,+1.32,105.0,176,103.7,134,69.5,97,+.089,19,-1.28,171,103.9,218,105.1,138,+3.47,80,0,0,0,0,0,0
Kansas 1,9,B12,27-7,+23.24,120.9,6,97.7,46,68.4,161,+.060,50,+11.49,6,111.7,12,100.2,11,+3.71,76,1,1,1,1,0,0
Penn 16,127,Ivy,24-8,+3.70,103.6,205,99.9,73,68.9,131,+.078,23,-4.63,271,103.7,228,108.3,309,-2.77,253,0,0,0,0,0,0
Seton Hall 8,26,BE,21-11,+17.34,116.3,26,99.0,58,69.3,104,-.020,234,+9.58,34,110.4,36,100.9,24,+0.42,152,1,0,0,0,0,0
North Carolina St. 9,42,ACC,21-11,+15.13,116.4,24,101.3,99,71.4,40,+.007,156,+7.64,55,108.9,63,101.3,41,-9.44,343,0,0,0,0,0,0
Clemson 5,19,ACC,23-9,+20.27,113.8,48,93.5,8,65.6,297,+.004,163,+9.76,30,110.9,28,101.1,36,-1.85,217,1,1,0,0,0,0
New Mexico St. 12,55,WAC,28-5,+13.56,108.5,116,94.9,14,68.2,173,+.032,97,-1.51,176,104.2,199,105.8,162,+4.19,62,0,0,0,0,0,0
Auburn 4,16,SEC,25-7,+20.63,118.2,16,97.6,44,72.3,21,-.012,204,+7.53,56,109.1,61,101.5,46,-1.75,215,1,0,0,0,0,0
College of Charleston 13,120,CAA,26-7,+4.73,109.9,87,105.2,167,64.6,324,+.049,63,-4.61,270,104.9,170,109.5,339,-7.46,337,0,0,0,0,0,0
TCU 6,22,B12,21-11,+18.92,120.6,8,101.7,104,68.7,142,-.058,311,+9.82,27,111.5,15,101.6,50,-0.43,178,0,0,0,0,0,0
Syracuse 11,54,ACC,20-13,+13.59,107.7,128,94.1,11,63.4,342,+.007,157,+8.72,43,111.0,27,102.2,61,-0.23,172,1,1,0,0,0,0
Michigan St. 3,6,B10,29-4,+26.35,120.0,9,93.6,9,67.1,222,+.048,64,+6.50,64,109.0,62,102.5,67,-4.70,303,1,0,0,0,0,0
Bucknell 14,100,Pat,25-9,+6.81,109.2,99,102.4,112,71.4,37,+.020,125,-4.85,279,102.9,271,107.7,272,+6.15,29,0,0,0,0,0,0
Rhode Island 7,49,A10,25-7,+14.38,111.7,66,97.3,38,68.7,146,+.037,87,+2.69,96,107.4,86,104.7,119,+4.06,67,1,0,0,0,0,0
Oklahoma 10,47,B12,18-13,+14.42,115.1,38,100.7,83,75.8,4,+.005,160,+11.96,2,111.9,8,99.9,3,+2.24,103,0,0,0,0,0,0
Duke 2,3,ACC,26-7,+29.13,122.6,3,93.5,7,70.0,78,-.029,260,+10.90,13,111.0,26,100.1,10,+4.61,51,1,1,1,0,0,0
Iona 15,134,MAAC,20-13,+2.87,110.3,80,107.4,212,70.7,56,-.022,239,-2.39,211,103.3,254,105.7,156,+2.26,102,0,0,0,0,0,0
Xavier 1,14,BE,28-5,+21.69,120.7,7,99.0,59,70.4,61,+.109,9,+9.62,31,110.3,39,100.7,18,+2.09,107,1,0,0,0,0,0
Texas Southern 16,249,SWAC,15-19,-7.66,105.3,173,112.9,315,71.6,35,-.009,199,-6.74,315,101.0,329,107.7,273,+17.47,1,0,0,0,0,0,0
Missouri 8,38,SEC,20-12,+15.47,113.3,53,97.8,47,65.6,298,-.021,237,+9.60,32,110.1,42,100.5,13,+1.30,136,0,0,0,0,0,0
Florida St. 9,35,ACC,20-11,+15.82,115.8,30,100.0,76,71.6,31,-.032,265,+7.99,54,109.2,59,101.2,38,-6.72,331,1,1,1,0,0,0
Ohio St. 5,15,B10,24-8,+21.11,116.2,27,95.0,16,66.4,260,+.027,107,+8.16,51,109.8,47,101.6,48,+0.41,153,1,0,0,0,0,0
South Dakota St. 12,75,Sum,28-6,+10.59,114.6,41,104.0,148,70.3,71,+.111,7,-0.10,141,106.1,118,106.2,189,+3.91,72,0,0,0,0,0,0
Gonzaga 4,8,WCC,30-4,+24.74,119.8,12,95.1,17,69.0,125,-.006,191,+0.95,127,106.6,107,105.6,154,+3.24,82,1,1,0,0,0,0
UNC Greensboro 13,82,SC,27-7,+9.06,105.7,164,96.6,30,65.0,318,-.011,203,-4.99,282,103.6,231,108.6,319,-3.23,273,0,0,0,0,0,0
Houston 6,17,Amer,26-7,+20.54,115.8,31,95.2,18,68.2,174,-.009,200,+3.39,86,106.7,103,103.3,80,-2.71,251,1,0,0,0,0,0
San Diego St. 11,50,MWC,22-10,+14.15,111.3,69,97.1,36,68.7,147,-.015,217,+3.37,87,107.5,85,104.2,101,-0.17,170,0,0,0,0,0,0
