Name+Seed,Rank,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Duke 1,1,ACC,35-5,+33.29,121.0,1,87.7,5,64.7,229,+.009,145,+11.53,4,107.9,19,96.4,1,+2.50,94,1,1,1,1,1,1
Arkansas Pine Bluff 16,231,SWAC,18-16,-6.44,93.1,303,99.5,107,65.1,215,+.053,50,-7.62,300,96.4,324,104.0,213,+17.98,1,0,0,0,0,0,0
California 8,14,P10,24-11,+22.15,119.6,3,97.4,76,67.1,107,-.043,282,+9.03,25,106.5,53,97.5,8,+8.46,16,1,0,0,0,0,0
Louisville 9,38,BE,20-13,+16.91,114.5,23,97.6,78,66.3,151,-.038,271,+8.87,29,107.8,20,99.0,46,-1.62,203,0,0,0,0,0,0
Texas A&M 5,16,B12,24-10,+21.33,112.6,37,91.2,17,64.3,243,-.005,182,+11.51,5,109.4,3,97.9,16,+0.15,141,1,0,0,0,0,0
Utah St. 12,23,WAC,27-8,+19.90,116.0,16,96.1,62,59.8,336,-.026,244,+1.81,136,105.0,91,103.2,181,+0.16,140,0,0,0,0,0,0
Purdue 4,15,B10,29-6,+22.05,109.8,65,87.7,4,66.2,161,+.070,33,+8.81,30,107.8,21,99.0,45,-1.26,193,1,1,0,0,0,0
Siena 13,59,MAAC,27-7,+13.86,109.4,69,95.5,56,69.2,43,+.027,99,-0.51,170,100.9,228,101.4,108,+3.22,80,0,0,0,0,0,0
Notre Dame 6,35,BE,23-12,+17.71,119.4,4,101.7,153,62.4,302,-.068,320,+6.28,66,106.5,51,100.2,84,-9.08,341,0,0,0,0,0,0
Old Dominion 11,37,CAA,27-9,+17.51,107.8,90,90.3,10,62.6,295,+.009,141,+3.17,108,105.0,90,101.9,127,+6.16,44,1,0,0,0,0,0
Baylor 3,8,B12,28-8,+24.95,119.2,5,94.3,43,64.5,235,-.021,234,+10.59,8,108.3,13,97.7,14,-2.79,237,1,1,1,0,0,0
Sam Houston St. 14,100,Slnd,25-8,+7.42,110.2,57,102.7,172,69.3,37,+.052,54,-3.33,230,101.3,216,104.6,244,+4.67,56,0,0,0,0,0,0
Richmond 7,54,A10,26-9,+15.01,108.8,77,93.8,35,62.5,301,+.047,64,+5.70,70,105.4,80,99.7,63,+2.39,95,0,0,0,0,0,0
Saint Mary's 10,29,WCC,28-6,+18.59,116.5,14,97.9,85,66.2,158,+.038,82,+2.72,115,105.4,81,102.7,166,+1.18,123,1,1,0,0,0,0
Villanova 2,17,BE,25-8,+21.24,117.2,11,96.0,59,71.2,12,+.025,103,+10.03,12,108.7,7,98.7,33,-0.91,171,1,0,0,0,0,0
Robert Morris 15,185,NEC,23-12,-0.97,99.9,216,100.8,132,66.1,170,+.074,27,-7.18,293,98.1,305,105.3,272,+3.47,75,0,0,0,0,0,0
