Name+Seed,Rank,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Connecticut 1,1,BE,31-3,+31.67,126.4,1,94.7,13,64.5,330,+.047,72,+10.04,42,111.4,47,101.4,37,-3.23,284,1,1,1,1,1,1
Stetson 16,219,ASun,22-12,-4.31,110.2,102,114.5,343,66.2,257,+.137,7,-3.4,271,105.3,229,108.7,322,+4.85,74,0,0,0,0,0,0
Florida Atlantic 8,39,Amer,25-8,+16.36,118.9,17,102.6,107,68.1,139,-0.011,215,+5.51,94,109.5,92,104,99,+6.65,42,0,0,0,0,0,0
Northwestern 9,44,B10,21-11,+15.89,116.6,30,100.7,73,63.8,342,+.008,165,+9.82,46,111.8,37,102,66,-7.29,355,1,0,0,0,0,0
San Diego St. 5,19,MWC,24-10,+20.10,113.8,55,93.7,8,66,266,-0.032,270,+11.54,16,112.9,10,101.4,39,+10.91,9,1,1,0,0,0,0
UAB 12,106,Amer,23-11,+6.47,113.7,59,107.2,199,67.8,154,+.116,11,+4.77,98,109.1,95,104.3,109,+2.22,131,0,0,0,0,0,0
Auburn 4,4,SEC,27-7,+28.87,120.6,10,91.7,4,69.8,59,-0.067,324,+9.69,49,111.9,34,102.2,71,+1.65,148,0,0,0,0,0,0
Yale 13,86,Ivy,22-9,+9.39,110.8,92,101.4,89,64.5,329,+.001,178,+2.15,128,108.4,105,106.2,178,+5.49,59,1,0,0,0,0,0
BYU 6,16,B12,23-10,+20.78,120.3,11,99.5,51,69.1,86,-0.034,275,+9.54,55,110.4,79,100.9,21,-5.31,326,0,0,0,0,0,0
Duquesne 11,85,A10,24-11,+9.43,107,164,97.5,29,66.3,251,+.049,66,+5.02,97,109.1,94,104.1,104,+1.95,139,1,0,0,0,0,0
Illinois 3,10,B10,26-8,+23.94,125.5,2,101.6,92,69.9,57,-0.032,271,+11.16,22,111.7,41,100.5,12,-2.12,260,1,1,1,0,0,0
Morehead St. 14,112,OVC,26-8,+5.40,109,124,103.6,124,64.3,335,+.044,81,-5.74,321,103.2,298,108.9,333,+7.86,26,0,0,0,0,0,0
Washington St. 7,38,P12,24-9,+16.39,113.6,63,97.2,28,64.9,314,+.021,126,+7.26,85,110,84,102.8,83,-4.83,315,1,0,0,0,0,0
Drake 10,51,MVC,28-6,+14.89,115.6,42,100.7,72,67.9,151,+.065,43,+2.88,119,108,113,105.1,134,-1.13,237,0,0,0,0,0,0
Iowa St. 2,6,B12,27-7,+26.53,113.8,56,87.2,1,67.4,181,+.012,155,+10.33,37,111,62,100.6,14,-6.92,349,1,1,0,0,0,0
South Dakota St. 15,136,Sum,22-12,+2.95,108.6,132,105.7,164,67.9,150,-0.018,234,-2.3,236,105.7,201,108,283,+3.15,109,0,0,0,0,0,0
