Name+Seed,Rank,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Louisville 1,5,BE,31-6,+26.06,111.2,49,85.2,2,66.9,103,+.068,25,+9.57,27,108.6,17,99.0,37,-0.19,161,1,1,1,0,0,0
Morehead St. 16,157,OVC,20-16,+0.76,102.0,189,101.3,137,65.3,169,+.015,128,-1.90,200,103.6,138,105.5,268,+3.49,76,0,0,0,0,0,0
Ohio St. 8,34,B10,22-11,+16.34,113.3,32,96.9,63,62.5,284,+.042,67,+9.46,30,107.7,36,98.2,14,-3.41,241,0,0,0,0,0,0
Siena 9,67,MAAC,27-8,+11.93,110.3,63,98.4,78,70.7,16,+.031,90,+0.91,138,102.4,188,101.5,109,+7.27,29,1,0,0,0,0,0
Utah 5,28,MWC,24-10,+17.80,110.8,56,92.9,23,65.0,184,+.013,136,+7.29,53,107.9,33,100.6,75,+6.96,34,0,0,0,0,0,0
Arizona 12,37,P10,21-14,+15.96,117.7,6,101.8,147,64.9,187,+.018,119,+11.33,6,109.0,10,97.7,8,+2.34,100,1,1,0,0,0,0
Wake Forest 4,24,ACC,24-7,+18.88,111.6,46,92.7,22,72.8,7,+.051,52,+7.66,51,107.5,41,99.9,55,-4.35,262,0,0,0,0,0,0
Cleveland St. 13,66,Horz,26-11,+11.96,105.3,124,93.3,29,63.7,243,+.009,145,+3.76,88,104.6,100,100.9,81,+7.07,33,1,0,0,0,0,0
West Virginia 6,11,BE,23-12,+24.21,115.1,19,90.9,13,63.7,240,-.067,315,+10.95,8,108.9,12,98.0,10,+2.11,107,0,0,0,0,0,0
Dayton 11,78,A10,27-8,+10.23,103.3,156,93.0,25,64.5,210,+.107,5,+2.34,110,104.9,93,102.6,152,-4.57,269,1,0,0,0,0,0
Kansas 3,14,B12,27-8,+23.83,114.5,23,90.7,11,67.2,93,-.013,202,+8.83,37,107.9,32,99.1,39,+1.55,117,1,1,0,0,0,0
North Dakota St. 14,61,Sum,26-7,+12.29,114.3,25,102.0,152,67.5,79,-.009,187,-1.60,193,103.1,154,104.7,236,+2.21,105,0,0,0,0,0,0
Boston College 7,74,ACC,22-12,+11.20,113.2,33,102.0,150,65.3,172,+.038,74,+6.40,56,106.6,51,100.2,67,-5.57,292,0,0,0,0,0,0
USC 10,27,P10,22-13,+18.26,110.0,65,91.8,16,63.7,242,-.032,260,+10.81,9,110.5,2,99.7,51,+0.74,134,1,0,0,0,0,0
Michigan St. 2,9,B10,31-7,+24.37,114.3,26,89.9,6,66.5,112,+.091,11,+12.33,2,109.4,5,97.1,2,+5.81,42,1,1,1,1,1,0
Robert Morris 15,146,NEC,24-11,+1.49,102.0,187,100.6,122,66.0,139,+.055,44,-7.27,310,99.3,284,106.5,317,+0.44,144,0,0,0,0,0,0
Pittsburgh 1,3,BE,31-5,+28.96,121.2,2,92.3,19,65.2,174,-.012,201,+10.11,19,108.1,28,98.0,12,+0.79,132,1,1,1,0,0,0
East Tennessee St. 16,105,ASun,23-11,+5.67,106.4,108,100.7,126,69.6,31,-.048,289,-4.73,263,100.2,267,105.0,246,-1.26,189,0,0,0,0,0,0
Oklahoma St. 8,26,B12,23-12,+18.33,116.4,15,98.1,73,69.3,36,-.003,169,+10.46,12,108.8,15,98.4,19,-0.28,165,1,0,0,0,0,0
Tennessee 9,32,SEC,21-13,+16.48,115.1,20,98.7,83,67.7,72,-.032,261,+9.40,31,107.9,31,98.5,21,+9.15,21,0,0,0,0,0,0
Florida St. 5,39,ACC,25-10,+15.76,105.9,116,90.1,7,65.9,148,+.066,28,+10.01,21,109.2,6,99.2,42,+0.60,140,0,0,0,0,0,0
Wisconsin 12,29,B10,20-13,+17.62,113.3,31,95.7,46,59.1,333,-.052,299,+9.51,28,107.3,44,97.8,9,+1.32,121,1,0,0,0,0,0
Xavier 4,20,A10,27-8,+20.24,111.0,53,90.8,12,65.8,149,-.008,185,+5.81,64,105.8,68,100.0,62,+7.97,24,1,1,0,0,0,0
Portland St. 13,118,BSky,23-10,+4.04,109.2,77,105.1,219,64.8,191,+.025,105,-3.32,233,101.5,221,104.8,242,-0.00,157,0,0,0,0,0,0
UCLA 6,12,P10,26-9,+23.93,119.5,3,95.6,44,65.3,171,-.030,251,+8.42,39,107.6,39,99.1,40,-3.43,243,1,0,0,0,0,0
VCU 11,54,CAA,24-10,+13.62,110.1,64,96.4,57,65.8,150,-.073,320,+0.23,156,102.9,166,102.7,157,+3.46,78,0,0,0,0,0,0
Villanova 3,13,BE,30-8,+23.89,114.4,24,90.5,10,68.3,62,+.021,116,+9.99,22,108.9,14,98.9,32,-5.37,286,1,1,1,1,0,0
American 14,112,Pat,24-8,+4.70,105.3,123,100.6,125,60.7,319,+.093,8,-6.34,295,97.6,317,104.0,204,+0.55,141,0,0,0,0,0,0
Texas 7,22,B12,23-12,+19.65,112.2,42,92.5,20,65.4,160,-.048,288,+10.16,17,109.2,8,99.0,36,+2.01,108,1,0,0,0,0,0
Minnesota 10,40,B10,22-11,+15.43,108.1,90,92.6,21,64.5,211,+.031,89,+8.44,38,107.4,43,98.9,33,-4.18,257,0,0,0,0,0,0
Duke 2,10,ACC,30-7,+24.31,117.5,7,93.2,28,66.3,127,+.053,47,+10.23,15,108.5,19,98.3,17,+3.18,84,1,1,0,0,0,0
Binghamton 15,177,AE,23-9,-0.98,102.3,181,103.3,178,67.2,91,+.130,3,-5.64,282,99.6,281,105.3,259,-4.08,253,0,0,0,0,0,0
North Carolina 1,1,ACC,34-4,+31.14,123.2,1,92.1,18,72.9,6,-.011,195,+9.91,24,108.2,27,98.3,15,+1.06,126,1,1,1,1,1,1
Radford 16,176,BSth,21-12,-0.86,101.2,208,102.1,153,69.2,37,+.076,21,-4.54,260,101.0,243,105.5,271,+8.71,22,0,0,0,0,0,0
LSU 8,46,SEC,27-8,+14.86,111.5,47,96.6,60,66.1,136,+.075,22,+3.50,92,104.6,101,101.1,86,-8.66,327,1,0,0,0,0,0
Butler 9,38,Horz,26-6,+15.78,110.3,62,94.5,38,62.8,274,-.014,206,+2.51,105,103.0,159,100.5,73,+6.15,39,0,0,0,0,0,0
Illinois 5,25,B10,24-10,+18.72,106.8,104,88.1,4,62.8,271,+.001,164,+7.96,45,106.5,55,98.6,23,-3.36,239,0,0,0,0,0,0
Western Kentucky 12,88,SB,25-9,+8.10,111.1,52,103.0,173,65.6,155,+.092,10,-0.60,173,102.2,197,102.8,162,+6.63,36,1,0,0,0,0,0
Gonzaga 4,8,WCC,28-6,+24.51,117.5,8,93.0,24,67.1,97,+.003,156,+4.63,78,105.1,89,100.5,74,+10.61,13,1,1,0,0,0,0
Akron 13,95,MAC,23-13,+6.90,102.9,163,96.0,51,64.8,190,-.014,204,-1.60,192,100.9,246,102.5,147,-1.83,205,0,0,0,0,0,0
Arizona St. 6,15,P10,25-10,+23.03,118.2,5,95.2,42,59.1,334,-.018,223,+10.14,18,108.9,13,98.8,29,-2.04,207,1,0,0,0,0,0
Temple 11,50,A10,22-12,+14.38,109.9,68,95.5,43,63.5,255,-.005,173,+6.68,54,106.9,49,100.3,68,+7.22,32,0,0,0,0,0,0
Syracuse 3,16,BE,28-10,+22.21,117.0,10,94.8,39,69.7,29,+.024,106,+11.46,4,108.4,21,97.0,1,+0.77,133,1,1,0,0,0,0
Stephen F. Austin 14,101,Slnd,24-8,+6.52,97.0,268,90.4,9,62.4,289,+.053,49,-1.98,204,101.9,212,103.9,202,+4.63,58,0,0,0,0,0,0
Clemson 7,23,ACC,23-9,+19.62,116.4,16,96.7,61,67.9,67,-.024,236,+6.19,60,105.4,77,99.2,43,-4.45,266,0,0,0,0,0,0
Michigan 10,47,B10,21-14,+14.75,112.2,40,97.5,67,62.5,285,+.014,132,+11.39,5,108.5,20,97.1,3,+0.63,139,1,0,0,0,0,0
Oklahoma 2,7,B12,30-6,+24.59,118.3,4,93.7,33,66.6,109,+.018,120,+9.49,29,108.3,25,98.9,31,+0.46,143,1,1,1,0,0,0
Morgan St. 15,150,MEAC,23-12,+0.99,100.1,222,99.1,91,65.5,159,+.031,88,-7.43,311,98.2,309,105.7,286,+4.82,55,0,0,0,0,0,0
Connecticut 1,2,BE,31-5,+29.25,116.0,17,86.8,3,67.1,96,+.024,107,+10.37,13,109.0,11,98.6,24,-1.68,200,1,1,1,1,0,0
Chattanooga 16,213,SC,18-17,-4.04,104.3,142,108.4,283,69.5,33,+.041,69,-3.37,235,102.1,200,105.5,270,+12.40,7,0,0,0,0,0,0
BYU 8,21,MWC,25-8,+20.10,114.0,28,93.9,35,69.0,41,-.046,285,+4.57,79,105.4,76,100.9,82,+0.39,145,0,0,0,0,0,0
Texas A&M 9,45,B12,24-10,+15.01,113.1,35,98.1,74,63.9,235,+.053,48,+7.85,48,107.1,48,99.3,45,-4.30,261,1,0,0,0,0,0
Purdue 5,18,B10,27-10,+21.84,110.5,60,88.7,5,65.9,144,-.012,199,+8.94,36,107.2,46,98.3,16,-5.45,289,1,1,0,0,0,0
Northern Iowa 12,83,MVC,23-11,+9.70,110.6,59,100.9,131,60.8,318,+.051,50,+3.10,98,104.7,97,101.6,114,+1.88,110,0,0,0,0,0,0
Washington 4,17,P10,26-9,+22.09,113.1,34,91.0,14,72.2,10,-.005,180,+10.18,16,109.4,4,99.2,44,+0.09,151,1,0,0,0,0,0
Mississippi St. 13,69,SEC,23-13,+11.55,107.8,92,96.2,54,67.2,95,-.004,170,+4.96,72,105.3,82,100.3,70,-3.07,234,0,0,0,0,0,0
Marquette 6,19,BE,25-10,+21.02,117.1,9,96.1,52,67.5,78,-.014,203,+8.22,41,107.8,34,99.5,49,-4.95,279,1,0,0,0,0,0
Utah St. 11,44,WAC,30-5,+15.12,116.7,12,101.6,143,60.0,327,+.046,58,-0.47,169,103.2,151,103.6,192,-2.77,225,0,0,0,0,0,0
Missouri 3,6,B12,31-7,+24.81,116.6,13,91.8,17,70.9,15,+.031,87,+7.96,44,106.4,57,98.4,20,-3.76,251,1,1,1,0,0,0
Cornell 14,107,Ivy,21-10,+5.23,108.5,85,103.3,179,65.4,162,-.005,174,-5.58,281,99.0,291,104.6,232,-0.50,175,0,0,0,0,0,0
California 7,30,P10,22-11,+17.37,116.8,11,99.4,96,66.0,140,+.001,162,+9.17,33,108.0,30,98.8,30,-3.54,246,0,0,0,0,0,0
Maryland 10,55,ACC,21-14,+13.55,110.0,67,96.4,56,66.3,126,+.039,72,+9.61,26,108.3,24,98.7,28,-3.29,238,1,0,0,0,0,0
Memphis 2,4,CUSA,33-4,+28.67,112.8,37,84.2,1,65.9,145,-.009,190,+4.73,77,105.5,73,100.8,78,+4.19,67,1,1,0,0,0,0
Cal St. Northridge 15,108,BW,17-14,+5.18,102.2,182,97.0,64,71.8,12,-.045,283,+0.26,154,104.0,123,103.7,194,+5.14,50,0,0,0,0,0,0
