Name+Seed,Rank,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Michigan 1,2,B10,20-4,+32.22,120.1,6,87.9,7,66.8,260,+.026,115,+16.87,14,111.3,12,94.5,18,+2.99,158,1,1,1,0,0,0
Texas Southern 16,229,SWAC,16-8,-4.63,99.7,236,104.3,236,72.0,41,+.055,61,-10.23,341,94.0,341,104.2,267,+13.39,30,0,0,0,0,0,0
LSU 8,29,SEC,18-9,+21.02,120.5,5,99.4,125,70.8,78,+.002,167,+13.50,37,107.8,65,94.3,14,+0.56,204,1,0,0,0,0,0
St. Bonaventure 9,25,A10,16-4,+22.25,112.0,38,89.8,17,65.2,319,+.014,143,+8.29,90,105.8,97,97.6,83,+2.86,163,0,0,0,0,0,0
Colorado 5,17,P12,22-8,+23.11,115.1,17,92.0,29,66.4,280,-.033,252,+10.78,68,107.8,66,97.0,71,+1.99,180,1,0,0,0,0,0
Georgetown 12,55,BE,13-12,+15.49,108.4,85,92.9,41,69.6,113,+.001,171,+14.45,25,110.3,21,95.8,39,+4.50,135,0,0,0,0,0,0
Florida St. 4,15,ACC,16-6,+23.50,117.1,10,93.6,48,70.6,84,-.011,207,+12.54,44,108.8,46,96.2,45,+4.23,142,1,1,0,0,0,0
UNC Greensboro 13,100,SC,21-8,+9.58,104.8,129,95.2,67,68.5,174,+.005,161,+0.74,169,103.2,162,102.5,192,-2.77,252,0,0,0,0,0,0
BYU 6,24,WCC,20-6,+22.37,113.8,28,91.4,26,68.0,199,+.045,84,+10.28,73,107.8,64,97.5,82,+8.69,73,0,0,0,0,0,0
UCLA 11,44,P12,17-9,+17.35,114.1,26,96.8,86,64.7,332,+.024,119,+11.87,55,108.6,50,96.7,61,+9.09,68,1,1,1,1,0,0
Texas 3,26,B12,19-7,+22.01,114.5,21,92.5,36,69.2,137,+.017,140,+14.05,30,109.0,41,94.9,23,+8.32,80,0,0,0,0,0,0
Abilene Christian 14,86,Slnd,23-4,+11.56,103.7,157,92.2,30,70.0,101,-.027,238,-8.15,331,97.6,318,105.8,329,+4.29,138,1,0,0,0,0,0
Connecticut 7,16,BE,15-7,+23.33,114.3,24,90.9,25,66.0,301,-.066,307,+12.60,42,107.9,62,95.3,28,-2.02,243,0,0,0,0,0,0
Maryland 10,31,B10,16-13,+20.15,111.6,42,91.5,27,65.3,317,-.035,253,+17.06,12,110.1,22,93.1,4,-0.80,225,1,0,0,0,0,0
