Name+Seed,Rank,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Texas 1,7,B12,26-7,+23.49,119.3,3,95.8,58,69.4,67,-.009,188,+10.36,9,107.1,16,96.7,7,+2.16,104,1,1,1,1,0,0
UNC Asheville 16,283,BSth,14-17,-12.35,101.2,187,113.5,319,68.0,118,+.119,5,-6.45,272,98.3,272,104.7,262,+11.61,11,0,0,0,0,0,0
LSU 8,23,SEC,21-11,+18.15,111.0,33,92.8,24,67.5,140,-.035,262,+6.27,67,104.8,80,98.6,55,-8.36,311,0,0,0,0,0,0
Purdue 9,27,B10,19-11,+17.42,107.0,87,89.6,11,69.3,71,-.012,194,+9.53,17,107.6,6,98.0,36,+4.87,55,1,0,0,0,0,0
Connecticut 5,22,BE,23-10,+19.54,111.6,26,92.0,17,71.2,29,+.005,152,+8.75,29,107.3,10,98.6,57,-3.48,237,1,1,0,0,0,0
BYU 12,24,MWC,23-9,+17.68,109.4,52,91.7,16,65.5,234,-.031,247,+5.49,74,107.3,11,101.8,130,+5.20,52,0,0,0,0,0,0
Stanford 4,39,P10,24-9,+14.57,109.8,46,95.2,49,65.6,226,+.066,35,+7.26,53,106.2,46,98.9,63,+3.75,66,1,0,0,0,0,0
San Diego 13,80,WCC,17-12,+8.32,104.7,119,96.4,64,70.9,34,+.003,160,+3.37,100,104.8,81,101.4,113,+6.03,37,0,0,0,0,0,0
Maryland 6,13,ACC,21-10,+22.00,110.9,34,88.9,9,71.5,23,-.078,301,+8.23,38,106.6,36,98.4,47,-5.29,282,1,1,0,0,0,0
UNC Wilmington 11,37,CAA,24-7,+14.62,109.5,49,94.9,43,64.1,279,-.031,248,-2.47,209,99.2,252,101.7,127,-0.81,173,0,0,0,0,0,0
Xavier 3,20,A10,26-6,+19.88,113.8,19,94.0,29,67.7,131,+.018,120,+4.79,86,105.0,75,100.2,90,+4.81,56,1,0,0,0,0,0
Troy St. 14,99,ASun,25-6,+6.15,106.9,88,100.8,140,70.3,47,+.105,9,-5.20,253,99.3,251,104.5,248,-2.77,222,0,0,0,0,0,0
Michigan St. 7,19,B10,22-13,+20.26,110.1,43,89.9,12,63.6,286,-.050,280,+10.11,13,107.3,12,97.2,13,+3.20,83,1,1,1,0,0,0
Colorado 10,34,B12,20-12,+15.27,109.1,56,93.8,28,69.9,56,+.001,162,+9.02,23,106.9,24,97.8,30,+0.22,151,0,0,0,0,0,0
Florida 2,11,SEC,25-8,+22.14,116.5,6,94.4,36,65.0,256,+.008,140,+8.30,36,105.9,56,97.6,24,-0.90,174,1,0,0,0,0,0
Sam Houston St. 15,157,Slnd,21-7,+0.82,101.5,179,100.6,136,67.2,158,+.088,13,-7.41,280,97.0,296,104.4,246,-2.00,204,0,0,0,0,0,0
Oklahoma 1,9,B12,27-7,+23.01,112.1,25,89.1,10,62.7,299,+.034,84,+9.01,24,106.7,30,97.7,25,-2.32,214,1,1,1,0,0,0
South Carolina St. 16,244,MEAC,20-11,-8.59,96.4,260,105.0,221,71.7,21,+.115,6,-12.27,318,95.2,317,107.5,315,-0.55,165,0,0,0,0,0,0
California 8,47,P10,22-9,+13.59,109.9,45,96.3,63,65.9,208,+.061,42,+7.06,57,106.7,31,99.6,79,+0.30,147,1,0,0,0,0,0
N.C. State 9,50,ACC,18-13,+13.18,111.2,30,98.1,88,65.0,257,-.023,223,+8.48,34,106.9,22,98.4,49,-6.48,292,0,0,0,0,0,0
Mississippi St. 5,14,SEC,21-10,+21.53,107.4,79,85.8,1,64.8,263,-.060,290,+8.85,27,106.9,23,98.0,34,-2.62,218,0,0,0,0,0,0
Butler 12,31,Horz,27-6,+16.09,115.4,11,99.3,110,58.6,325,+.073,24,+4.10,91,104.5,95,100.4,94,+1.84,112,1,1,0,0,0,0
Louisville 4,10,CUSA,25-7,+22.75,115.8,9,93.0,25,72.5,12,-.029,241,+6.80,61,105.4,67,98.6,56,+6.01,39,1,0,0,0,0,0
Austin Peay 13,135,OVC,20-8,+2.65,100.7,197,98.0,86,64.4,273,+.171,1,-0.97,170,104.2,109,105.1,279,+7.41,27,0,0,0,0,0,0
Oklahoma St. 6,25,B12,22-10,+17.67,105.9,100,88.2,5,66.7,177,+.003,157,+9.08,22,106.3,44,97.2,15,-1.17,183,1,0,0,0,0,0
Penn 11,48,Ivy,22-6,+13.35,110.3,41,96.9,68,63.3,290,+.035,82,-1.53,182,100.4,221,101.9,132,+3.49,71,0,0,0,0,0,0
Syracuse 3,8,BE,30-5,+23.28,114.4,17,91.1,14,71.0,32,+.083,16,+10.32,10,106.6,34,96.3,4,-3.63,242,1,1,1,1,1,1
Manhattan 14,68,MAAC,23-7,+10.04,105.5,106,95.4,52,68.1,117,+.014,125,-1.71,184,101.7,182,103.4,202,+2.52,94,0,0,0,0,0,0
Saint Joseph's 7,17,A10,23-7,+20.75,109.0,58,88.3,6,64.1,281,-.049,279,+4.60,88,105.0,74,100.4,95,+5.80,43,0,0,0,0,0,0
Auburn 10,46,SEC,22-12,+13.63,107.7,74,94.1,31,66.6,181,+.051,52,+8.22,39,106.0,55,97.8,27,-4.71,267,1,1,0,0,0,0
Wake Forest 2,21,ACC,25-6,+19.87,114.5,15,94.6,37,67.7,130,+.073,25,+7.83,44,105.8,58,98.0,35,-3.80,249,1,0,0,0,0,0
East Tennessee St. 15,147,SC,17-11,+1.75,101.3,186,99.6,116,75.2,3,+.036,76,-1.80,188,102.1,169,103.9,219,+4.80,57,0,0,0,0,0,0
Kentucky 1,1,SEC,32-4,+29.18,116.5,5,87.4,4,67.7,132,+.051,53,+11.20,4,108.6,3,97.4,16,+6.77,33,1,1,1,0,0,0
IUPUI 16,161,MCon,19-14,+0.46,102.9,153,102.5,171,67.0,164,+.071,27,-2.19,201,102.6,157,104.8,265,+2.79,90,0,0,0,0,0,0
Oregon 8,42,P10,23-10,+14.25,111.4,29,97.1,73,71.2,28,+.032,87,+5.23,76,105.1,73,99.8,85,-4.45,262,0,0,0,0,0,0
Utah 9,44,MWC,25-8,+14.04,106.6,91,92.6,23,62.1,308,+.069,32,+5.24,75,106.7,29,101.5,119,+1.55,117,1,0,0,0,0,0
Wisconsin 5,12,B10,24-8,+22.07,114.4,16,92.4,21,61.9,310,-.024,228,+6.46,64,106.1,52,99.6,80,-1.01,179,1,1,0,0,0,0
Weber St. 12,76,BSky,25-5,+8.88,111.4,28,102.5,172,66.5,186,+.073,26,-1.73,185,100.5,219,102.2,151,+1.29,124,0,0,0,0,0,0
Dayton 4,40,A10,24-6,+14.53,116.4,8,101.9,161,64.4,270,+.084,14,+4.91,83,104.4,99,99.5,75,+5.51,47,0,0,0,0,0,0
Tulsa 13,51,WAC,23-10,+13.04,107.9,70,94.9,41,67.4,150,-.061,291,+1.05,139,102.7,155,101.7,124,+4.16,62,1,0,0,0,0,0
Missouri 6,28,B12,22-11,+17.32,111.5,27,94.2,34,66.9,173,+.043,68,+11.14,5,107.1,18,95.9,1,+2.97,87,1,0,0,0,0,0
Southern Illinois 11,55,MVC,24-7,+11.76,110.3,40,98.6,96,67.8,125,+.063,39,+1.97,124,103.5,129,101.5,120,+3.35,79,0,0,0,0,0,0
Marquette 3,15,CUSA,27-6,+21.30,120.5,2,99.2,109,65.7,219,+.070,30,+7.93,42,106.1,50,98.2,40,-1.45,188,1,1,1,1,0,0
Holy Cross 14,66,Pat,25-5,+10.40,105.5,107,95.1,45,65.1,250,+.065,37,-5.57,260,99.0,258,104.5,252,-0.64,170,0,0,0,0,0,0
Indiana 7,41,B10,21-13,+14.48,113.4,20,98.9,102,63.7,284,+.050,57,+10.49,8,107.2,13,96.8,8,+9.29,20,1,0,0,0,0,0
Alabama 10,38,SEC,17-12,+14.60,110.3,39,95.7,54,65.3,243,-.015,205,+9.55,16,106.6,32,97.1,11,+2.31,102,0,0,0,0,0,0
Pittsburgh 2,3,BE,28-5,+28.61,114.8,14,86.2,2,64.7,266,-.023,224,+7.08,56,105.5,66,98.4,48,-8.24,310,1,1,0,0,0,0
Wagner 15,179,NEC,21-11,-1.16,104.7,118,105.9,238,67.6,134,+.049,61,-7.45,282,98.9,261,106.3,294,+2.39,99,0,0,0,0,0,0
