Name+Seed,Rank,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Kansas 1,5,B12,33-5,+27.81,115.3,29,87.5,1,68.7,63,+.031,102,+6.86,59,108.1,58,101.2,64,-0.93,170,1,1,1,0,0,0
Niagara 16,186,MAAC,23-12,-2.76,107.2,119,110.0,271,68.3,72,+.118,3,-6.17,276,101.3,260,107.5,278,-5.19,284,0,0,0,0,0,0
Kentucky 8,13,SEC,22-12,+21.73,117.0,15,95.3,34,65.8,165,-.029,254,+13.23,1,111.0,2,97.8,1,+8.21,25,1,0,0,0,0,0
Villanova 9,21,BE,22-11,+20.11,113.4,42,93.3,19,65.8,168,-.036,266,+11.02,5,110.5,7,99.5,9,+2.82,86,0,0,0,0,0,0
Virginia Tech 5,37,ACC,22-12,+17.38,112.4,54,95.0,31,63.7,252,-.004,187,+9.85,16,109.9,13,100.1,26,+0.79,135,1,0,0,0,0,0
Illinois 12,36,B10,23-12,+17.50,107.3,116,89.8,5,62.0,300,-.017,220,+8.06,41,108.4,44,100.4,39,-0.20,156,0,0,0,0,0,0
Southern Illinois 4,16,MVC,29-7,+21.03,109.8,84,88.8,3,61.0,312,+.017,138,+10.19,12,110.2,11,100.0,22,+7.30,30,1,1,0,0,0,0
Holy Cross 13,93,Pat,25-9,+7.40,103.0,186,95.6,39,62.5,293,+.025,119,-3.70,213,101.5,254,105.2,175,+0.98,130,0,0,0,0,0,0
Duke 6,10,ACC,22-11,+23.30,113.2,44,89.9,6,64.5,218,-.074,314,+11.30,3,110.7,4,99.4,6,+3.88,68,0,0,0,0,0,0
VCU 11,52,CAA,28-7,+14.55,116.6,18,102.0,124,65.5,178,+.002,174,+0.20,150,104.2,162,104.0,143,+0.25,149,1,0,0,0,0,0
Pittsburgh 3,11,BE,29-8,+22.90,118.1,10,95.2,33,62.2,298,+.033,93,+9.54,22,109.6,19,100.1,25,+0.72,137,1,1,0,0,0,0
Wright St. 14,100,Horz,23-10,+6.66,104.5,165,97.8,59,63.0,281,+.137,2,+0.23,148,105.7,118,105.5,187,-2.57,215,0,0,0,0,0,0
