Name+Seed,Rank,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
North Carolina 1,1,ACC,33-4,+32.77,122.5,2,89.7,5,73.1,7,+.011,135,+11.64,2,108.7,7,97.1,1,+4.26,64,1,1,1,1,1,1
Oakland 16,178,MCon,13-19,-1.20,108.1,75,109.3,282,65.2,208,-.022,222,+1.99,124,105.2,99,103.2,170,+14.37,3,0,0,0,0,0,0
Minnesota 8,41,B10,21-11,+14.06,104.0,143,89.9,7,67.3,114,+.016,121,+6.18,61,106.0,75,99.8,47,-3.99,258,0,0,0,0,0,0
Iowa St. 9,48,B12,19-12,+13.02,103.1,159,90.1,9,66.8,130,+.003,152,+7.22,39,107.5,28,100.3,60,-3.06,238,1,0,0,0,0,0
Villanova 5,7,BE,24-8,+25.02,114.7,19,89.7,6,67.0,126,-.054,285,+9.16,17,107.9,21,98.7,19,-0.89,182,1,1,0,0,0,0
New Mexico 12,31,MWC,26-7,+15.54,112.8,30,97.3,63,65.4,196,-.002,165,-0.46,163,103.4,154,103.9,205,-10.69,322,0,0,0,0,0,0
Florida 4,10,SEC,24-8,+23.93,116.4,11,92.5,16,65.2,207,-.027,239,+7.13,40,106.6,53,99.5,34,-4.30,265,1,0,0,0,0,0
Ohio 13,85,MAC,21-11,+8.29,109.8,58,101.5,138,65.7,187,+.042,70,+2.72,112,104.9,109,102.2,123,-4.24,264,0,0,0,0,0,0
Wisconsin 6,17,B10,25-9,+20.81,112.0,39,91.2,11,62.8,291,+.042,71,+10.24,9,108.5,10,98.3,12,+1.27,122,1,1,1,0,0,0
Northern Iowa 11,45,MVC,21-11,+13.36,112.2,37,98.9,85,64.5,233,-.035,254,+5.44,72,105.8,82,100.3,62,+1.09,132,0,0,0,0,0,0
Kansas 3,11,B12,23-7,+23.08,115.6,15,92.5,18,66.5,147,+.008,145,+10.45,8,108.1,18,97.7,5,+10.37,13,0,0,0,0,0,0
Bucknell 14,95,Pat,23-10,+6.69,102.2,176,95.6,41,63.1,281,+.063,40,-2.34,198,101.4,210,103.7,197,+2.28,97,1,0,0,0,0,0
Charlotte 7,54,CUSA,21-8,+12.15,111.6,42,99.5,90,70.6,29,+.042,72,+3.68,100,104.9,114,101.2,92,-1.74,210,0,0,0,0,0,0
N.C. State 10,23,ACC,21-14,+18.93,115.0,17,96.1,47,63.1,282,-.062,295,+10.05,11,108.3,14,98.3,13,-3.82,253,1,1,0,0,0,0
Connecticut 2,15,BE,23-8,+21.94,112.1,38,90.2,10,70.6,28,-.031,246,+8.52,25,108.5,12,100.0,52,-1.04,191,1,0,0,0,0,0
UCF 15,192,ASun,24-9,-2.56,105.0,126,107.6,254,60.1,317,+.067,34,-8.61,304,99.0,280,107.7,325,-4.62,276,0,0,0,0,0,0
Washington 1,14,P10,29-6,+22.18,120.6,5,98.4,80,71.9,14,+.060,43,+8.61,23,107.5,26,98.9,20,+6.73,29,1,1,0,0,0,0
Montana 16,194,BSky,18-13,-2.73,99.9,219,102.6,160,68.2,86,+.049,56,-4.35,248,100.4,237,104.8,237,+4.56,57,0,0,0,0,0,0
Pacific 8,40,BW,27-4,+14.08,114.5,20,100.5,115,63.6,263,+.091,13,+0.66,146,103.1,160,102.4,137,+1.74,111,1,0,0,0,0,0
Pittsburgh 9,24,BE,20-9,+18.41,114.8,18,96.3,51,64.0,254,-.057,287,+5.63,69,106.3,61,100.7,79,-10.09,321,0,0,0,0,0,0
Georgia Tech 5,22,ACC,20-12,+19.23,109.2,66,90.0,8,68.6,68,-.038,259,+10.91,5,108.9,4,98.0,8,-4.87,280,1,0,0,0,0,0
George Washington 12,38,A10,22-8,+14.41,109.9,56,95.5,40,70.8,25,-.013,197,+0.49,148,103.6,147,103.1,160,+0.84,136,0,0,0,0,0,0
Louisville 4,4,CUSA,33-5,+25.78,118.8,8,93.0,20,66.3,154,+.045,67,+6.42,57,106.1,68,99.7,43,-2.03,218,1,1,1,1,0,0
Louisiana Lafayette 13,74,SB,20-11,+9.91,107.1,94,97.2,62,67.6,107,+.037,83,+2.67,114,104.8,115,102.2,122,+9.12,17,0,0,0,0,0,0
Texas Tech 6,32,B12,22-11,+15.47,110.3,50,94.8,36,69.0,55,+.037,81,+8.93,20,108.8,5,99.9,51,-3.94,256,1,1,0,0,0,0
UCLA 11,68,P10,18-11,+10.74,107.8,80,97.1,58,69.2,49,+.036,87,+6.73,48,106.7,49,100.0,54,-0.43,173,0,0,0,0,0,0
Gonzaga 3,26,WCC,26-5,+17.88,119.3,7,101.4,135,67.1,124,+.012,131,+3.46,103,104.0,135,100.5,71,+2.18,104,1,0,0,0,0,0
Winthrop 14,108,BSth,27-6,+4.97,101.5,195,96.5,53,63.1,286,+.065,36,-7.69,289,99.6,262,107.3,317,+2.26,100,0,0,0,0,0,0
West Virginia 7,35,BE,24-11,+15.00,114.1,25,99.1,88,63.6,265,+.082,19,+9.14,18,108.6,9,99.5,35,-7.33,304,1,1,1,0,0,0
Creighton 10,39,MVC,23-11,+14.33,114.3,22,100.0,104,63.1,285,-.033,248,+4.44,89,104.9,112,100.4,68,-1.69,209,0,0,0,0,0,0
