Name+Seed,Rank,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Villanova 1,5,BE,32-2,.9571,120.8,4,92.2,13,64.5,181,+.044,73,.6779,33,105.1,61,98.5,17,.5109,160,1,0,0,0,0,0
Lafayette 16,195,Pat,20-12,.4285,110.4,40,113.2,338,65.0,158,+.078,25,.4071,256,101.2,218,104.5,269,.5367,133,0,0,0,0,0,0
LSU 9,43,SEC,22-10,.8006,106.8,75,94.7,37,69.8,13,-.027,247,.6127,75,103.8,98,99.7,53,.3941,292,0,0,0,0,0,0
Northern Iowa 5,12,MVC,30-3,.9080,113.8,15,93.2,16,58.5,348,+.010,157,.5139,138,102.0,172,101.6,127,.5171,154,1,0,0,0,0,0
Wyoming 12,102,MWC,25-9,.6373,101.8,175,97.0,67,59.2,344,+.084,21,.4551,187,100.8,252,102.4,162,.2799,343,0,0,0,0,0,0
Louisville 4,18,ACC,24-8,.8756,105.9,95,89.4,6,65.5,136,+.027,121,.6870,27,106.2,24,99.2,37,.4520,238,1,1,1,0,0,0
UC Irvine 13,94,BW,21-12,.6559,103.9,123,98.3,92,63.7,234,-.007,200,.5257,128,102.6,134,101.7,133,.5920,71,0,0,0,0,0,0
Providence 6,28,BE,22-11,.8458,110.7,38,95.5,48,65.7,125,+.043,74,.7316,8,107.2,7,98.2,13,.5818,81,0,0,0,0,0,0
Dayton 11,40,A10,25-8,.8057,107.1,73,94.7,38,64.0,214,+.022,133,.5653,105,102.8,118,100.5,88,.5063,165,1,0,0,0,0,0
Oklahoma 3,9,B12,22-10,.9150,109.3,50,88.9,5,67.6,44,-.046,288,.7436,3,107.9,3,98.3,14,.5454,120,1,1,0,0,0,0
Albany 14,131,AE,24-8,.5686,104.2,117,101.7,155,61.3,320,+.060,49,.3488,324,98.4,334,103.9,243,.5218,150,0,0,0,0,0,0
Michigan St. 7,17,B10,23-11,.8786,114.1,14,96.1,53,63.7,235,-.053,300,.6912,24,107.1,8,99.9,61,.5027,170,1,1,1,1,0,0
Georgia 10,36,SEC,21-11,.8178,107.0,74,93.9,28,64.2,201,+.010,158,.6998,21,106.1,29,98.6,19,.5335,136,0,0,0,0,0,0
Virginia 2,4,ACC,29-3,.9587,112.2,27,85.4,1,58.2,349,+.032,103,.6758,35,105.6,42,99.0,31,.5042,168,1,0,0,0,0,0
Belmont 15,149,OVC,22-10,.5363,107.9,64,106.5,259,67.1,63,+.071,34,.4101,253,100.4,279,103.6,230,.4852,192,0,0,0,0,0,0
Villanova 1,5,BE,32-2,.9571,120.8,4,92.2,13,64.5,181,+.044,73,.6779,33,105.1,61,98.5,17,.5109,160,1,0,0,0,0,0
Purdue 9,49,B10,21-12,.7825,108.5,57,97.1,69,64.5,180,+.010,159,.6535,53,106.2,25,100.5,89,.4189,275,0,0,0,0,0,0
West Virginia 5,25,B12,23-9,.8539,111.2,33,95.4,47,68.7,26,+.050,63,.7073,15,106.3,22,98.4,16,.4364,256,1,1,0,0,0,0
Buffalo 12,54,MAC,23-9,.7759,109.8,47,98.5,94,69.3,20,+.011,155,.5760,94,104.6,75,101.9,143,.5951,62,0,0,0,0,0,0
Maryland 4,33,B10,27-6,.8289,108.5,56,94.6,36,64.4,184,+.131,2,.6493,58,105.6,40,100.1,74,.4486,242,1,0,0,0,0,0
Valparaiso 13,63,Horz,28-5,.7499,103.8,129,94.3,31,62.8,275,+.070,36,.4372,204,102.0,175,104.3,262,.4057,283,0,0,0,0,0,0
Butler 6,23,BE,22-10,.8624,107.5,67,91.7,10,63.8,231,-.014,218,.6833,30,107.0,10,100.0,70,.4922,181,1,0,0,0,0,0
Texas 11,20,B12,20-13,.8725,110.3,42,93.3,19,62.3,294,-.071,325,.7153,13,106.2,27,98.0,10,.4778,201,0,0,0,0,0,0
Notre Dame 3,10,ACC,29-5,.9127,122.2,2,99.7,112,64.1,204,+.064,45,.6038,79,104.3,82,100.6,92,.2417,347,1,1,1,0,0,0
Northeastern 14,120,CAA,23-11,.5980,106.0,90,102.4,171,63.7,239,+.037,88,.4609,181,102.1,167,103.5,222,.5574,108,0,0,0,0,0,0
Wichita St. 7,14,MVC,28-4,.9044,113.0,20,92.9,15,62.1,298,+.018,138,.5441,116,102.0,177,100.4,86,.5950,64,1,1,0,0,0,0
Indiana 10,53,B10,20-13,.7762,116.6,10,104.7,216,66.6,84,-.032,255,.6290,71,104.9,66,100.2,77,.3699,317,0,0,0,0,0,0
Kansas 2,11,B12,26-8,.9111,110.8,37,90.5,7,67.4,55,+.079,24,.7946,1,108.5,1,96.4,1,.7299,11,1,0,0,0,0,0
New Mexico St. 15,88,WAC,23-10,.6674,104.1,120,97.9,87,63.7,233,-.051,299,.3475,326,99.3,315,104.9,296,.5291,143,0,0,0,0,0,0
Kentucky 1,1,SEC,34-0,.9787,119.7,5,85.8,2,63.4,251,+.055,55,.6679,41,105.3,50,99.1,33,.5662,96,1,1,1,1,0,0
Cincinnati 8,34,Amer,22-10,.8242,106.7,76,93.3,18,60.0,341,-.027,246,.5699,99,102.2,161,99.8,57,.5476,116,1,0,0,0,0,0
West Virginia 5,25,B12,23-9,.8539,111.2,33,95.4,47,68.7,26,+.050,63,.7073,15,106.3,22,98.4,16,.4364,256,1,1,0,0,0,0
St. John's 9,42,BE,21-11,.8019,108.1,62,95.7,51,67.1,61,+.058,54,.6806,32,106.4,19,99.6,47,.4636,218,0,0,0,0,0,0
Utah 5,8,P12,24-8,.9275,113.0,18,90.6,8,61.2,322,-.056,307,.6591,48,105.5,45,99.6,48,.5205,151,1,1,0,0,0,0
Stephen F. Austin 12,35,Slnd,29-4,.8183,113.0,19,99.1,103,66.8,75,+.030,112,.3981,269,101.1,224,104.9,289,.5585,107,0,0,0,0,0,0
Georgetown 4,22,BE,21-10,.8670,110.3,41,93.7,25,64.4,187,-.002,188,.7230,11,107.6,4,99.0,27,.5912,73,1,0,0,0,0,0
