Name+Seed,Rank,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Alabama 1,3,SEC,29-5,+27.54,116.1,19,88.6,3,72.7,4,+.074,37,+11.66,9,110.9,7,99.2,12,+10.56,5,1,1,0,0,0,0
Texas A&M; Corpus Chris 16,170,Slnd,23-10,-0.23,107.4,137,107.6,229,69.3,80,+.019,136,-9.07,352,101.2,330,110.2,358,+1.44,124,0,0,0,0,0,0
Maryland 8,22,B10,21-12,+18.37,114.1,35,95.8,33,64.6,312,-0.039,278,+8.01,50,109.3,47,101.3,56,-3.92,285,1,0,0,0,0,0
West Virginia 9,17,B12,19-14,+19.14,117.1,15,98,52,68.9,104,-0.054,299,+12.74,5,111,6,98.2,4,+2.26,97,0,0,0,0,0,0
San Diego St. 5,14,MWC,27-6,+20.25,111.9,64,91.7,10,66,252,+.047,73,+8.96,34,110.4,15,101.4,58,+7.47,16,1,1,1,1,1,0
Charleston 12,73,CAA,31-3,+11.76,111.4,70,99.6,75,71,29,+.052,64,-5.71,305,102.3,293,108,298,-1.96,232,0,0,0,0,0,0
Virginia 4,34,ACC,25-7,+16.41,111.2,74,94.8,25,61.6,360,+.045,78,+5.59,78,108.5,69,102.9,81,+1.84,111,0,0,0,0,0,0
Furman 13,89,SC,27-7,+8.43,114.2,33,105.8,183,68.5,124,+.000,195,-4.4,271,104,228,108.4,315,-2.07,233,1,0,0,0,0,0
Creighton 6,13,BE,21-12,+20.65,114.6,28,94,15,68,149,-0.074,329,+10.34,16,110.9,8,100.5,36,+6.44,27,1,1,1,0,0,0
N.C. State 11,55,ACC,23-10,+13.31,113.9,37,100.6,85,69.1,89,+.030,102,+4.81,84,108.6,67,103.8,102,-4.91,307,0,0,0,0,0,0
Baylor 3,15,B12,22-10,+19.98,121.9,2,101.9,104,66.6,217,+.032,96,+12.93,3,110.8,9,97.9,3,+1.92,110,1,0,0,0,0,0
UC Santa Barbara 14,102,BW,27-7,+6.64,111.3,71,104.7,163,65,302,+.057,55,-2.38,217,102.8,280,105.2,160,-2.69,256,0,0,0,0,0,0
Missouri 7,51,SEC,24-9,+13.92,119.3,10,105.4,178,69.1,92,+.110,9,+7.73,54,108.1,80,100.4,33,-4.68,302,1,0,0,0,0,0
Utah St. 10,18,MWC,26-8,+18.88,117.8,13,98.9,64,68.8,108,+.008,166,+7.68,56,108.8,57,101.1,55,+3.52,78,0,0,0,0,0,0
