Name+Seed,Rank,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Villanova 1,5,BE,28-5,+24.59,116.3,11,91.7,14,65.6,143,+.080,20,+10.79,2,108.4,5,97.6,5,+3.17,72,1,1,1,0,0,0
Monmouth 16,164,NEC,19-15,-0.68,95.8,278,96.4,57,64.6,202,+.018,120,-3.55,221,101.2,235,104.7,215,+4.12,58,0,0,0,0,0,0
Arizona 8,23,P10,20-13,+17.23,112.2,35,95.0,40,67.7,78,-.037,256,+10.53,4,108.0,18,97.5,2,+9.27,16,1,0,0,0,0,0
Wisconsin 9,39,B10,19-12,+14.94,111.5,40,96.6,61,65.2,171,-.024,219,+7.96,31,106.6,46,98.6,24,+0.91,130,0,0,0,0,0,0
Nevada 5,37,WAC,27-6,+15.22,110.0,57,94.8,39,65.8,137,+.024,107,+1.90,119,103.6,143,101.7,122,+3.89,60,0,0,0,0,0,0
Montana 12,87,BSky,24-7,+8.95,111.6,39,102.7,161,66.2,127,+.056,50,-0.62,173,103.6,146,104.2,193,-0.71,170,1,0,0,0,0,0
Boston College 4,18,ACC,28-8,+18.65,117.8,4,99.2,99,61.5,301,+.024,106,+7.43,41,107.1,34,99.7,60,-5.69,287,1,1,0,0,0,0
Pacific 13,68,BW,24-8,+10.87,109.8,63,99.0,94,62.8,262,+.010,142,-1.99,199,102.7,180,104.7,211,+0.54,139,0,0,0,0,0,0
Oklahoma 6,45,B12,20-9,+13.99,113.0,26,99.0,95,62.4,278,+.049,52,+6.16,60,105.5,69,99.3,46,-0.61,166,0,0,0,0,0,0
Milwaukee 11,62,Horz,22-9,+11.86,108.3,76,96.5,58,67.7,77,+.017,124,+1.54,128,104.9,90,103.4,164,+4.95,51,1,0,0,0,0,0
Florida 3,1,SEC,33-6,+28.28,117.9,3,89.7,7,66.9,102,-.011,194,+8.35,24,107.7,24,99.3,47,-8.46,320,1,1,1,1,1,1
South Alabama 14,84,SB,24-7,+9.28,109.1,72,99.9,113,65.7,140,+.056,47,-2.51,207,100.8,243,103.3,162,-3.47,246,0,0,0,0,0,0
Georgetown 7,13,BE,23-10,+21.29,116.5,9,95.2,46,57.8,329,-.026,226,+9.58,11,108.1,14,98.5,22,-1.83,208,1,1,0,0,0,0
Northern Iowa 10,32,MVC,23-10,+15.84,109.0,75,93.1,21,59.6,321,-.025,222,+6.18,59,104.4,103,98.2,13,+0.24,148,0,0,0,0,0,0
Ohio St. 2,14,B10,26-6,+20.68,113.0,25,92.3,19,65.2,169,+.028,97,+6.74,53,107.0,37,100.3,76,-3.33,241,1,0,0,0,0,0
Davidson 15,122,SC,20-11,+4.86,109.9,61,105.0,199,66.0,132,-.025,223,-3.30,217,101.4,227,104.7,213,+9.24,17,0,0,0,0,0,0
Duke 1,2,ACC,32-4,+27.54,119.4,1,91.8,16,69.8,29,+.047,56,+10.51,5,108.1,16,97.6,4,+6.81,37,1,1,0,0,0,0
Southern 16,197,SWAC,19-13,-3.40,96.2,274,99.6,106,64.8,185,+.081,19,-7.68,301,96.6,323,104.3,196,+13.07,5,0,0,0,0,0,0
George Washington 8,43,A10,27-3,+14.67,110.3,52,95.6,48,71.2,12,+.106,7,-1.23,184,101.1,237,102.4,139,-15.01,333,1,0,0,0,0,0
UNC Wilmington 9,42,CAA,25-8,+14.77,107.2,93,92.4,20,62.6,270,-.006,183,+1.59,126,103.6,145,102.0,131,+0.11,153,0,0,0,0,0,0
Syracuse 5,50,BE,23-12,+13.15,110.0,60,96.8,67,68.3,63,+.077,24,+8.71,22,107.5,28,98.8,29,-3.79,251,0,0,0,0,0,0
Texas A&M 12,31,B12,22-9,+15.90,106.7,103,90.8,10,63.0,260,-.008,188,+4.22,86,104.8,94,100.6,85,-12.20,331,1,0,0,0,0,0
LSU 4,11,SEC,27-9,+22.00,109.8,62,87.8,3,67.5,90,+.008,146,+10.68,3,108.3,10,97.6,6,+1.75,109,1,1,1,1,0,0
Iona 13,65,MAAC,23-8,+11.33,109.7,65,98.4,90,69.6,34,+.024,105,+0.66,145,106.0,61,105.3,247,+3.83,61,0,0,0,0,0,0
West Virginia 6,16,BE,22-11,+19.49,116.1,12,96.6,62,62.5,276,-.046,278,+10.37,7,108.4,7,98.0,9,-0.49,164,1,1,0,0,0,0
Southern Illinois 11,48,MVC,22-11,+13.60,102.9,166,89.3,5,60.7,311,+.032,88,+5.81,69,103.6,144,97.8,7,+0.44,143,0,0,0,0,0,0
Iowa 3,21,B10,25-9,+18.22,103.8,154,85.6,1,64.7,194,+.046,59,+7.86,33,107.7,23,99.9,64,-0.77,173,0,0,0,0,0,0
Northwestern St. 14,93,Slnd,26-8,+7.51,106.6,105,99.1,98,67.6,79,+.016,128,-1.45,190,102.2,201,103.6,173,+10.25,9,1,0,0,0,0,0
California 7,47,P10,20-11,+13.68,110.5,49,96.8,68,61.9,293,+.021,110,+7.59,40,106.8,41,99.3,44,-0.77,172,0,0,0,0,0,0
