,Rank,Name+Seed,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2
47,48,UNLV 8,MWC,27-8,+13.71,110.2,67,96.5,51,63.9,223,+.081,21,+3.10,108,104.3,131,101.2,81,-0.86,171
54,55,Kent St. 9,MAC,28-7,+13.04,107.8,105,94.8,34,65.1,171,+.075,26,+1.03,140,103.5,166,102.5,127,-0.11,151
15,16,Clemson 5,ACC,24-10,+22.03,114.0,35,91.9,15,68.0,78,-.044,280,+9.53,15,109.3,5,99.8,42,+0.31,137
45,46,Villanova 12,BE,22-13,+14.21,109.2,75,95.0,35,68.1,74,+.037,84,+9.14,25,108.9,15,99.8,38,-2.40,222
55,56,Vanderbilt 4,SEC,26-8,+12.65,112.3,47,99.6,88,68.2,67,+.110,5,+5.20,86,107.4,49,102.2,118,-1.70,198
92,93,Siena 13,MAAC,23-11,+7.99,108.6,86,100.7,107,67.6,86,+.036,87,-1.41,186,104.1,144,105.5,232,+3.69,65
27,28,USC 6,P10,21-12,+18.67,110.5,59,91.9,13,65.2,166,-.005,184,+11.18,3,109.7,2,98.5,8,+0.40,134
25,26,Kansas St. 11,B12,21-12,+18.90,114.2,34,95.3,40,69.7,33,-.049,290,+9.09,27,108.0,38,98.9,14,-2.73,237
4,5,Wisconsin 3,B10,31-5,+26.68,113.5,37,86.8,3,61.1,306,+.043,69,+7.35,51,107.1,61,99.8,40,-0.19,154
87,88,Cal St. Fullerton 14,BW,24-9,+8.47,112.3,45,103.9,176,71.6,12,-.010,195,-3.95,236,101.5,243,105.5,230,-3.01,244
24,25,Gonzaga 7,WCC,25-8,+19.05,114.5,30,95.5,41,65.9,140,-.029,245,+2.57,112,104.0,147,101.5,89,+7.71,22
10,11,Davidson 10,SC,29-7,+23.61,117.0,9,93.4,24,66.2,133,-.036,260,+3.36,102,105.2,105,101.8,97,+14.93,1
6,7,Georgetown 2,BE,28-6,+25.56,115.2,21,89.7,6,60.5,316,+.029,99,+8.48,35,108.2,31,99.8,39,-2.72,235
126,127,UMBC 15,AE,24-9,+3.86,113.2,39,109.3,282,63.7,230,+.057,46,-4.31,241,100.7,274,105.0,207,+2.68,79
0,1,Kansas 1,B12,37-3,+35.21,120.9,2,85.7,1,66.8,109,+.012,138,+9.57,14,109.2,8,99.6,35,-1.41,184
47,48,UNLV 8,MWC,27-8,+13.71,110.2,67,96.5,51,63.9,223,+.081,21,+3.10,108,104.3,131,101.2,81,-0.86,171
45,46,Villanova 12,BE,22-13,+14.21,109.2,75,95.0,35,68.1,74,+.037,84,+9.14,25,108.9,15,99.8,38,-2.40,222
92,93,Siena 13,MAAC,23-11,+7.99,108.6,86,100.7,107,67.6,86,+.036,87,-1.41,186,104.1,144,105.5,232,+3.69,65
25,26,Kansas St. 11,B12,21-12,+18.90,114.2,34,95.3,40,69.7,33,-.049,290,+9.09,27,108.0,38,98.9,14,-2.73,237
4,5,Wisconsin 3,B10,31-5,+26.68,113.5,37,86.8,3,61.1,306,+.043,69,+7.35,51,107.1,61,99.8,40,-0.19,154
10,11,Davidson 10,SC,29-7,+23.61,117.0,9,93.4,24,66.2,133,-.036,260,+3.36,102,105.2,105,101.8,97,+14.93,1
6,7,Georgetown 2,BE,28-6,+25.56,115.2,21,89.7,6,60.5,316,+.029,99,+8.48,35,108.2,31,99.8,39,-2.72,235
0,1,Kansas 1,B12,37-3,+35.21,120.9,2,85.7,1,66.8,109,+.012,138,+9.57,14,109.2,8,99.6,35,-1.41,184
45,46,Villanova 12,BE,22-13,+14.21,109.2,75,95.0,35,68.1,74,+.037,84,+9.14,25,108.9,15,99.8,38,-2.40,222
4,5,Wisconsin 3,B10,31-5,+26.68,113.5,37,86.8,3,61.1,306,+.043,69,+7.35,51,107.1,61,99.8,40,-0.19,154
10,11,Davidson 10,SC,29-7,+23.61,117.0,9,93.4,24,66.2,133,-.036,260,+3.36,102,105.2,105,101.8,97,+14.93,1
0,1,Kansas 1,B12,37-3,+35.21,120.9,2,85.7,1,66.8,109,+.012,138,+9.57,14,109.2,8,99.6,35,-1.41,184
10,11,Davidson 10,SC,29-7,+23.61,117.0,9,93.4,24,66.2,133,-.036,260,+3.36,102,105.2,105,101.8,97,+14.93,1
0,1,Kansas 1,B12,37-3,+35.21,120.9,2,85.7,1,66.8,109,+.012,138,+9.57,14,109.2,8,99.6,35,-1.41,184
1,2,Memphis 1,CUSA,38-2,+31.51,118.0,6,86.5,2,68.1,76,+.012,141,+5.83,72,107.0,62,101.1,79,+5.45,39
179,180,UT Arlington 16,Slnd,21-12,-2.31,101.3,202,103.6,170,68.6,57,+.045,64,-4.81,253,99.5,304,104.3,182,-5.90,301
32,33,Mississippi St. 8,SEC,23-11,+16.77,108.2,92,91.5,11,66.6,117,-.043,278,+6.22,66,108.1,35,101.8,98,-1.48,187
35,36,Oregon 9,P10,18-14,+15.66,118.8,5,103.1,160,65.8,144,-.035,259,+10.56,5,108.9,14,98.4,6,+0.11,143
18,19,Michigan St. 5,B10,27-9,+21.15,115.8,17,94.7,33,63.3,253,+.032,94,+8.71,31,108.2,32,99.5,32,+0.59,128
56,57,Temple 12,A10,21-13,+12.37,112.8,41,100.4,102,63.6,233,-.018,213,+6.08,70,107.4,53,101.3,85,+3.73,64
21,22,Pittsburgh 4,BE,27-10,+19.91,116.5,10,96.6,54,63.9,221,+.027,104,+9.52,16,107.8,44,98.3,5,-1.69,197
76,77,Oral Roberts 13,Sum,24-9,+10.27,104.7,153,94.5,31,63.6,236,+.032,95,-0.01,156,105.4,103,105.4,228,+8.75,11
13,14,Marquette 6,BE,25-10,+22.16,115.3,20,93.1,21,66.6,118,-.027,240,+8.62,32,107.9,41,99.3,26,-6.37,307
77,78,Kentucky 11,SEC,18-13,+10.01,107.8,104,97.8,67,62.4,282,+.010,147,+6.74,57,107.4,50,100.7,67,-3.13,249
11,12,Stanford 3,P10,28-8,+22.75,113.6,36,90.9,10,63.4,248,+.040,78,+9.32,22,109.1,11,99.7,37,-6.32,306
122,123,Cornell 14,Ivy,22-6,+4.41,110.1,69,105.7,206,67.9,80,+.086,15,-6.93,298,99.1,314,106.0,257,-3.59,264
36,37,Miami FL 7,ACC,23-11,+15.38,112.5,44,97.1,61,65.8,145,-.003,176,+7.78,44,106.7,70,98.9,16,-5.55,296
41,42,Saint Mary's 10,WCC,25-7,+14.66,109.2,76,94.6,32,66.4,124,+.030,96,+0.11,151,103.4,174,103.3,153,+2.34,88
8,9,Texas 2,B12,31-7,+25.09,120.6,3,95.5,42,63.9,222,+.044,67,+10.37,6,108.4,29,98.0,3,+0.04,146
167,168,Austin Peay 15,OVC,24-11,-0.30,104.6,159,104.9,195,65.5,155,+.086,16,-6.35,291,102.5,204,108.8,333,+5.19,42
1,2,Memphis 1,CUSA,38-2,+31.51,118.0,6,86.5,2,68.1,76,+.012,141,+5.83,72,107.0,62,101.1,79,+5.45,39
32,33,Mississippi St. 8,SEC,23-11,+16.77,108.2,92,91.5,11,66.6,117,-.043,278,+6.22,66,108.1,35,101.8,98,-1.48,187
18,19,Michigan St. 5,B10,27-9,+21.15,115.8,17,94.7,33,63.3,253,+.032,94,+8.71,31,108.2,32,99.5,32,+0.59,128
21,22,Pittsburgh 4,BE,27-10,+19.91,116.5,10,96.6,54,63.9,221,+.027,104,+9.52,16,107.8,44,98.3,5,-1.69,197
13,14,Marquette 6,BE,25-10,+22.16,115.3,20,93.1,21,66.6,118,-.027,240,+8.62,32,107.9,41,99.3,26,-6.37,307
11,12,Stanford 3,P10,28-8,+22.75,113.6,36,90.9,10,63.4,248,+.040,78,+9.32,22,109.1,11,99.7,37,-6.32,306
36,37,Miami FL 7,ACC,23-11,+15.38,112.5,44,97.1,61,65.8,145,-.003,176,+7.78,44,106.7,70,98.9,16,-5.55,296
8,9,Texas 2,B12,31-7,+25.09,120.6,3,95.5,42,63.9,222,+.044,67,+10.37,6,108.4,29,98.0,3,+0.04,146
1,2,Memphis 1,CUSA,38-2,+31.51,118.0,6,86.5,2,68.1,76,+.012,141,+5.83,72,107.0,62,101.1,79,+5.45,39
18,19,Michigan St. 5,B10,27-9,+21.15,115.8,17,94.7,33,63.3,253,+.032,94,+8.71,31,108.2,32,99.5,32,+0.59,128
11,12,Stanford 3,P10,28-8,+22.75,113.6,36,90.9,10,63.4,248,+.040,78,+9.32,22,109.1,11,99.7,37,-6.32,306
8,9,Texas 2,B12,31-7,+25.09,120.6,3,95.5,42,63.9,222,+.044,67,+10.37,6,108.4,29,98.0,3,+0.04,146
1,2,Memphis 1,CUSA,38-2,+31.51,118.0,6,86.5,2,68.1,76,+.012,141,+5.83,72,107.0,62,101.1,79,+5.45,39
8,9,Texas 2,B12,31-7,+25.09,120.6,3,95.5,42,63.9,222,+.044,67,+10.37,6,108.4,29,98.0,3,+0.04,146
1,2,Memphis 1,CUSA,38-2,+31.51,118.0,6,86.5,2,68.1,76,+.012,141,+5.83,72,107.0,62,101.1,79,+5.45,39
3,4,UCLA 1,P10,35-4,+29.94,118.0,7,88.1,5,64.1,209,+.047,62,+10.03,9,109.3,6,99.3,24,-1.63,196
305,306,Mississippi Valley St. 16,SWAC,17-16,-15.21,91.9,323,107.1,236,63.0,259,+.115,3,-11.00,332,96.7,331,107.7,315,+13.04,4
34,35,BYU 8,MWC,27-8,+15.76,107.4,112,91.7,12,67.8,83,+.027,106,+1.47,129,104.2,139,102.7,139,-4.23,276
20,21,Texas A&M 9,B12,25-11,+19.93,112.3,46,92.3,17,61.8,295,+.004,159,+8.28,37,107.4,51,99.1,20,-5.13,291
16,17,Drake 5,MVC,28-5,+21.46,120.0,4,98.5,76,62.9,262,+.011,145,+4.89,88,105.5,101,100.6,65,+0.11,142
42,43,Western Kentucky 12,SB,29-7,+14.60,111.9,48,97.3,62,68.2,69,-.021,219,-0.85,172,103.3,176,104.2,174,+1.69,100
26,27,Connecticut 4,BE,24-9,+18.90,115.2,22,96.3,49,67.1,101,-.001,170,+7.67,45,107.7,45,100.0,49,-1.27,179
119,120,San Diego 13,WCC,22-14,+4.64,101.6,198,97.0,59,63.0,260,+.045,65,+1.43,131,104.3,125,102.9,144,+2.61,80
29,30,Purdue 6,B10,25-9,+18.30,110.5,60,92.2,16,66.9,107,-.025,234,+6.41,62,106.2,86,99.7,36,-3.61,265
40,41,Baylor 11,B12,21-11,+14.82,115.7,19,100.9,113,70.1,24,-.028,242,+7.58,46,106.9,64,99.3,25,-4.83,286
14,15,Xavier 3,A10,30-7,+22.05,117.3,8,95.2,39,63.8,225,+.054,49,+6.94,53,108.1,34,101.2,80,+3.50,69
90,91,Georgia 14,SEC,17-17,+8.08,104.3,166,96.2,45,64.7,183,-.032,253,+7.55,47,108.5,22,101.0,75,-4.10,274
17,18,West Virginia 7,BE,26-11,+21.29,114.6,27,93.3,23,63.8,228,-.019,217,+9.00,28,108.5,24,99.5,31,-1.98,210
22,23,Arizona 10,P10,19-15,+19.14,116.4,12,97.3,63,63.5,239,-.079,326,+12.72,1,110.3,1,97.6,1,+8.75,12
5,6,Duke 2,ACC,28-6,+26.40,116.3,13,89.9,7,71.5,13,-.006,189,+10.06,8,109.1,9,99.0,18,+3.36,73
128,129,Belmont 15,ASun,25-9,+3.53,109.7,71,106.2,216,68.6,53,+.075,25,-5.21,262,100.9,265,106.1,268,+0.51,133
3,4,UCLA 1,P10,35-4,+29.94,118.0,7,88.1,5,64.1,209,+.047,62,+10.03,9,109.3,6,99.3,24,-1.63,196
20,21,Texas A&M 9,B12,25-11,+19.93,112.3,46,92.3,17,61.8,295,+.004,159,+8.28,37,107.4,51,99.1,20,-5.13,291
42,43,Western Kentucky 12,SB,29-7,+14.60,111.9,48,97.3,62,68.2,69,-.021,219,-0.85,172,103.3,176,104.2,174,+1.69,100
119,120,San Diego 13,WCC,22-14,+4.64,101.6,198,97.0,59,63.0,260,+.045,65,+1.43,131,104.3,125,102.9,144,+2.61,80
29,30,Purdue 6,B10,25-9,+18.30,110.5,60,92.2,16,66.9,107,-.025,234,+6.41,62,106.2,86,99.7,36,-3.61,265
14,15,Xavier 3,A10,30-7,+22.05,117.3,8,95.2,39,63.8,225,+.054,49,+6.94,53,108.1,34,101.2,80,+3.50,69
17,18,West Virginia 7,BE,26-11,+21.29,114.6,27,93.3,23,63.8,228,-.019,217,+9.00,28,108.5,24,99.5,31,-1.98,210
5,6,Duke 2,ACC,28-6,+26.40,116.3,13,89.9,7,71.5,13,-.006,189,+10.06,8,109.1,9,99.0,18,+3.36,73
3,4,UCLA 1,P10,35-4,+29.94,118.0,7,88.1,5,64.1,209,+.047,62,+10.03,9,109.3,6,99.3,24,-1.63,196
42,43,Western Kentucky 12,SB,29-7,+14.60,111.9,48,97.3,62,68.2,69,-.021,219,-0.85,172,103.3,176,104.2,174,+1.69,100
14,15,Xavier 3,A10,30-7,+22.05,117.3,8,95.2,39,63.8,225,+.054,49,+6.94,53,108.1,34,101.2,80,+3.50,69
17,18,West Virginia 7,BE,26-11,+21.29,114.6,27,93.3,23,63.8,228,-.019,217,+9.00,28,108.5,24,99.5,31,-1.98,210
3,4,UCLA 1,P10,35-4,+29.94,118.0,7,88.1,5,64.1,209,+.047,62,+10.03,9,109.3,6,99.3,24,-1.63,196
14,15,Xavier 3,A10,30-7,+22.05,117.3,8,95.2,39,63.8,225,+.054,49,+6.94,53,108.1,34,101.2,80,+3.50,69
3,4,UCLA 1,P10,35-4,+29.94,118.0,7,88.1,5,64.1,209,+.047,62,+10.03,9,109.3,6,99.3,24,-1.63,196
0,1,Kansas 1,B12,37-3,+35.21,120.9,2,85.7,1,66.8,109,+.012,138,+9.57,14,109.2,8,99.6,35,-1.41,184
2,3,North Carolina 1,ACC,36-3,+30.22,122.1,1,91.9,14,72.5,9,+.050,55,+10.18,7,108.0,36,97.8,2,+1.50,107
3,4,UCLA 1,P10,35-4,+29.94,118.0,7,88.1,5,64.1,209,+.047,62,+10.03,9,109.3,6,99.3,24,-1.63,196
1,2,Memphis 1,CUSA,38-2,+31.51,118.0,6,86.5,2,68.1,76,+.012,141,+5.83,72,107.0,62,101.1,79,+5.45,39
0,1,Kansas 1,B12,37-3,+35.21,120.9,2,85.7,1,66.8,109,+.012,138,+9.57,14,109.2,8,99.6,35,-1.41,184
1,2,Memphis 1,CUSA,38-2,+31.51,118.0,6,86.5,2,68.1,76,+.012,141,+5.83,72,107.0,62,101.1,79,+5.45,39
0,1,Kansas 1,B12,37-3,+35.21,120.9,2,85.7,1,66.8,109,+.012,138,+9.57,14,109.2,8,99.6,35,-1.41,184
