,Rank,Name+Seed,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2
2,3,North Carolina 1,ACC,36-3,+30.22,122.1,1,91.9,14,72.5,9,+.050,55,+10.18,7,108.0,36,97.8,2,+1.50,107
172,173,Mount St. Mary's 16,NEC,19-15,-1.32,99.3,233,100.6,106,66.1,138,+.014,135,-5.35,265,101.6,241,106.9,295,-0.05,148
28,29,Indiana 8,B10,25-8,+18.43,114.6,29,96.1,44,66.2,134,+.037,85,+6.28,64,106.6,75,100.3,59,-2.30,219
39,40,Arkansas 9,SEC,23-12,+15.19,111.4,53,96.2,48,66.5,119,+.008,153,+7.19,52,108.4,25,101.2,82,-0.61,164
23,24,Notre Dame 5,BE,25-8,+19.07,114.6,26,95.6,43,69.5,35,+.042,72,+6.88,54,107.5,48,100.6,66,-7.02,314
79,80,George Mason 12,CAA,23-11,+9.68,110.7,58,101.0,117,61.6,300,-.010,196,-0.57,166,102.6,203,103.2,150,+2.28,89
9,10,Washington St. 4,P10,26-9,+24.32,115.1,23,90.8,9,58.3,334,-.004,179,+8.99,29,109.0,12,100.0,52,-6.51,309
103,104,Winthrop 13,BSth,22-12,+6.38,99.5,232,93.1,20,61.6,298,-.000,167,-1.01,175,105.1,106,106.1,267,+7.81,19
43,44,Oklahoma 6,B12,23-12,+14.47,109.5,74,95.1,37,63.1,256,+.077,23,+9.45,18,108.3,30,98.9,15,-0.55,161
44,45,Saint Joseph's 11,A10,21-13,+14.32,115.1,25,100.8,110,64.0,216,-.069,318,+5.81,73,106.9,63,101.1,78,+1.34,114
7,8,Louisville 3,BE,27-9,+25.41,113.1,40,87.7,4,65.3,160,-.057,300,+9.34,21,108.4,28,99.0,17,+0.79,126
125,126,Boise St. 14,WAC,25-9,+3.89,108.7,84,104.8,191,70.7,19,+.085,17,-2.64,212,103.3,177,105.9,252,-3.36,256
19,20,Butler 7,Horz,30-4,+19.97,116.2,14,96.2,47,59.5,328,+.002,161,+2.79,110,104.3,133,101.5,90,+5.43,40
64,65,South Alabama 10,SB,26-7,+11.80,112.6,42,100.8,111,64.8,178,-.002,174,-2.07,194,103.1,182,105.2,219,+0.90,121
12,13,Tennessee 2,SEC,31-5,+22.17,116.2,15,94.0,28,70.7,20,+.110,4,+9.58,13,109.4,4,99.8,41,+7.64,24
149,150,American 15,Pat,21-12,+1.67,107.9,102,106.3,218,60.4,319,+.045,66,-4.23,240,99.9,295,104.1,173,-2.17,216
2,3,North Carolina 1,ACC,36-3,+30.22,122.1,1,91.9,14,72.5,9,+.050,55,+10.18,7,108.0,36,97.8,2,+1.50,107
39,40,Arkansas 9,SEC,23-12,+15.19,111.4,53,96.2,48,66.5,119,+.008,153,+7.19,52,108.4,25,101.2,82,-0.61,164
23,24,Notre Dame 5,BE,25-8,+19.07,114.6,26,95.6,43,69.5,35,+.042,72,+6.88,54,107.5,48,100.6,66,-7.02,314
9,10,Washington St. 4,P10,26-9,+24.32,115.1,23,90.8,9,58.3,334,-.004,179,+8.99,29,109.0,12,100.0,52,-6.51,309
43,44,Oklahoma 6,B12,23-12,+14.47,109.5,74,95.1,37,63.1,256,+.077,23,+9.45,18,108.3,30,98.9,15,-0.55,161
7,8,Louisville 3,BE,27-9,+25.41,113.1,40,87.7,4,65.3,160,-.057,300,+9.34,21,108.4,28,99.0,17,+0.79,126
19,20,Butler 7,Horz,30-4,+19.97,116.2,14,96.2,47,59.5,328,+.002,161,+2.79,110,104.3,133,101.5,90,+5.43,40
12,13,Tennessee 2,SEC,31-5,+22.17,116.2,15,94.0,28,70.7,20,+.110,4,+9.58,13,109.4,4,99.8,41,+7.64,24
2,3,North Carolina 1,ACC,36-3,+30.22,122.1,1,91.9,14,72.5,9,+.050,55,+10.18,7,108.0,36,97.8,2,+1.50,107
9,10,Washington St. 4,P10,26-9,+24.32,115.1,23,90.8,9,58.3,334,-.004,179,+8.99,29,109.0,12,100.0,52,-6.51,309
7,8,Louisville 3,BE,27-9,+25.41,113.1,40,87.7,4,65.3,160,-.057,300,+9.34,21,108.4,28,99.0,17,+0.79,126
12,13,Tennessee 2,SEC,31-5,+22.17,116.2,15,94.0,28,70.7,20,+.110,4,+9.58,13,109.4,4,99.8,41,+7.64,24
2,3,North Carolina 1,ACC,36-3,+30.22,122.1,1,91.9,14,72.5,9,+.050,55,+10.18,7,108.0,36,97.8,2,+1.50,107
7,8,Louisville 3,BE,27-9,+25.41,113.1,40,87.7,4,65.3,160,-.057,300,+9.34,21,108.4,28,99.0,17,+0.79,126
2,3,North Carolina 1,ACC,36-3,+30.22,122.1,1,91.9,14,72.5,9,+.050,55,+10.18,7,108.0,36,97.8,2,+1.50,107
0,1,Kansas 1,B12,37-3,+35.21,120.9,2,85.7,1,66.8,109,+.012,138,+9.57,14,109.2,8,99.6,35,-1.41,184
111,112,Portland St. 16,BSky,23-10,+5.40,108.6,87,103.2,161,66.3,126,+.062,41,-3.50,232,102.7,202,106.2,271,+3.95,60
