Name+Seed,Rank,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
New Mexico St. 13,80,WAC,24-10,.7246,104.0,122,94.6,74,65.1,208,+.027,104,.5263,132,101.5,139,100.4,132,.6204,52,0,0,0,0,0,0
Memphis 6,39,CUSA,30-4,.8550,107.8,64,90.7,26,69.7,28,+.020,127,.5211,136,102.5,115,101.6,194,.5063,171,1,0,0,0,0,0
St. Mary's 11,22,WCC,27-6,.8866,115.6,11,94.6,68,64.8,223,+.040,73,.5766,114,103.0,98,100.0,119,.5059,173,0,0,0,0,0,0
Michigan St. 3,10,B10,25-8,.9325,112.8,24,87.3,8,64.4,244,+.006,164,.7784,1,107.3,2,94.9,3,.5232,152,1,1,0,0,0,0
Valparaiso 14,66,Horz,26-7,.7761,109.8,44,97.3,106,65.9,170,+.024,113,.4485,193,99.5,215,101.6,188,.4323,255,0,0,0,0,0,0
Creighton 7,15,MVC,27-7,.9059,118.3,6,94.8,78,65.0,213,-.021,235,.6199,83,103.2,93,98.4,79,.5520,111,1,0,0,0,0,0
Cincinnati 10,40,BE,22-11,.8462,104.4,117,88.4,15,64.3,250,+.002,178,.6790,46,103.8,75,96.5,27,.3572,308,0,0,0,0,0,0
Duke 2,6,ACC,27-5,.9454,119.6,4,90.6,25,67.9,81,+.018,133,.7340,11,106.7,8,96.7,35,.6834,19,1,1,1,0,0,0
Albany 15,147,AE,24-10,.5430,100.7,170,99.0,134,63.1,287,+.088,13,.3558,292,96.3,323,102.0,211,.3479,314,0,0,0,0,0,0
Gonzaga 1,4,WCC,31-2,.9578,119.8,3,88.4,14,64.6,231,+.033,91,.6013,96,103.5,86,99.4,109,.6250,48,1,0,0,0,0,0
Southern 16,170,SWAC,23-9,.4765,95.7,252,96.6,100,64.9,219,-.018,232,.1945,347,92.5,347,106.2,345,.5949,74,0,0,0,0,0,0
Pittsburgh 8,7,BE,24-8,.9426,116.5,9,88.7,17,60.2,339,-.059,308,.6197,84,103.5,83,98.7,88,.2851,339,0,0,0,0,0,0
Wichita St. 9,33,MVC,26-8,.8618,109.1,50,91.3,30,64.6,233,-.002,192,.6229,81,104.2,58,99.2,103,.5348,131,1,1,1,1,0,0
Wisconsin 5,9,B10,23-11,.9374,108.8,52,83.6,3,62.0,310,-.026,250,.7564,5,107.4,1,96.1,20,.4810,201,0,0,0,0,0,0
Mississippi 12,34,SEC,26-8,.8609,111.8,28,93.6,55,70.8,12,+.002,180,.5856,109,101.9,129,98.5,81,.3072,333,1,0,0,0,0,0
Kansas St. 4,30,B12,27-7,.8677,113.2,21,94.2,64,62.8,293,+.068,26,.6600,61,104.3,50,97.8,66,.4641,222,0,0,0,0,0,0
La Salle 13,57,A10,21-9,.8070,109.8,43,95.5,83,66.5,141,+.030,98,.6161,87,103.4,89,98.7,89,.5092,167,1,1,0,0,0,0
Arizona 6,19,P12,25-7,.8946,113.3,18,92.0,36,67.0,123,+.006,167,.6899,33,104.5,44,96.7,36,.5580,105,1,1,0,0,0,0
Belmont 11,46,OVC,26-6,.8331,109.9,42,93.9,59,67.3,107,+.010,157,.4720,170,101.9,130,103.0,252,.6487,34,0,0,0,0,0,0
New Mexico 3,17,MWC,29-5,.9035,109.7,45,88.2,11,64.8,220,+.083,19,.7231,15,105.3,22,95.8,10,.6362,42,0,0,0,0,0,0
Harvard 14,108,Ivy,19-9,.6504,106.1,83,99.8,147,64.4,245,+.015,143,.5005,144,100.9,147,100.9,152,.6325,46,1,0,0,0,0,0
Notre Dame 7,31,BE,25-9,.8676,115.3,12,95.9,90,61.6,320,+.045,62,.6794,44,103.4,87,96.1,19,.3561,309,0,0,0,0,0,0
Iowa St. 10,37,B12,22-11,.8567,116.9,8,98.2,121,69.3,34,-.034,268,.6364,74,103.0,97,97.6,59,.4149,270,1,0,0,0,0,0
Ohio St. 2,5,B10,26-7,.9475,114.7,14,86.5,6,64.3,248,+.019,131,.7378,9,105.4,18,95.2,5,.4153,269,1,1,1,0,0,0
Iona 15,96,MAAC,20-13,.6722,113.1,22,105.5,257,70.6,17,-.097,333,.5231,134,100.5,168,99.6,112,.6238,50,0,0,0,0,0,0
Kansas 1,8,B12,29-5,.9418,112.7,25,85.9,5,67.7,91,+.019,130,.6653,58,105.1,28,98.3,78,.5868,79,1,1,0,0,0,0
Western Kentucky 16,183,SB,20-15,.4560,100.1,177,101.8,182,65.7,182,+.039,78,.4394,203,99.0,239,101.4,175,.5864,80,0,0,0,0,0,0
North Carolina 8,28,ACC,24-10,.8739,112.3,27,93.0,47,70.6,16,+.039,77,.7087,23,105.3,21,96.5,31,.4982,179,1,0,0,0,0,0
Villanova 9,45,BE,20-13,.8341,105.4,94,90.0,24,67.7,93,+.022,123,.7441,8,105.2,27,94.8,2,.5273,142,0,0,0,0,0,0
Virginia Commonwealth 5,21,A10,26-8,.8917,113.3,19,92.2,43,68.4,63,-.010,213,.6080,89,103.6,82,99.3,108,.4849,197,1,0,0,0,0,0
Akron 12,54,MAC,26-6,.8107,105.6,89,91.7,33,66.6,135,+.012,151,.4935,152,100.7,156,101.0,157,.5388,126,0,0,0,0,0,0
Michigan 4,11,B10,26-7,.9283,120.6,2,93.9,58,65.0,215,-.011,218,.7207,16,105.6,13,96.3,22,.4241,260,1,1,1,1,1,0
South Dakota St. 13,102,Sum,25-9,.6675,110.4,39,103.1,209,64.1,258,+.030,99,.4031,241,99.4,222,103.3,262,.6179,55,0,0,0,0,0,0
UCLA 6,44,P12,25-9,.8353,110.4,38,94.3,65,69.3,35,+.062,32,.6996,26,104.3,54,96.0,15,.5445,121,0,0,0,0,0,0
Minnesota 11,23,B10,20-12,.8857,112.6,26,92.2,42,63.0,288,-.035,269,.7673,2,107.3,3,95.5,8,.5798,89,1,0,0,0,0,0
Florida 3,1,SEC,26-7,.9731,118.4,5,83.4,2,62.5,299,-.106,337,.6821,41,104.0,63,96.5,32,.6188,53,1,1,1,0,0,0
Northwestern St. 14,133,Slnd,23-8,.5729,105.3,97,102.3,194,72.9,1,+.039,79,.3750,270,97.2,312,102.2,216,.7211,10,0,0,0,0,0,0
San Diego St. 7,26,MWC,22-10,.8764,106.7,76,88.2,10,66.8,126,-.046,287,.7078,24,105.4,16,96.7,34,.5589,104,1,0,0,0,0,0
Oklahoma 10,51,B12,20-11,.8196,110.6,36,95.4,82,66.8,129,+.003,173,.6839,40,104.8,36,97.2,50,.5642,103,0,0,0,0,0,0
Georgetown 2,12,BE,25-6,.9263,108.0,62,84.4,4,61.9,313,+.048,54,.6982,29,105.3,19,97.1,44,.4025,284,0,0,0,0,0,0
Florida Gulf Coast 15,126,ASun,24-10,.5930,101.5,151,97.9,117,68.7,54,+.035,87,.3859,259,98.8,248,103.4,269,.6402,41,1,1,0,0,0,0
