Name+Seed,Rank,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Indiana 1,3,B10,27-6,.9655,123.2,1,89.0,19,67.8,86,-.023,240,.7179,19,105.1,29,96.0,13,.3977,286,1,1,0,0,0,0
James Madison 16,179,CAA,20-14,.4602,97.3,224,98.9,132,64.5,239,+.059,37,.3939,250,99.4,224,103.7,285,.3886,290,0,0,0,0,0,0
North Carolina St. 8,35,ACC,24-10,.8605,116.1,10,97.2,105,68.2,74,-.020,234,.6858,37,105.0,31,97.3,53,.5244,149,0,0,0,0,0,0
Temple 9,68,A10,23-9,.7708,110.6,35,98.3,124,67.0,120,+.040,75,.6241,79,103.7,79,98.7,87,.5562,108,1,0,0,0,0,0
Nevada Las Vegas 5,36,MWC,25-9,.8590,105.3,99,88.3,13,68.8,53,-.001,189,.6721,55,104.9,34,97.8,65,.5008,175,0,0,0,0,0,0
California 12,58,P12,20-11,.7929,105.8,86,92.9,46,65.9,175,+.043,66,.6984,28,104.5,45,96.3,21,.5818,85,1,0,0,0,0,0
Syracuse 4,13,BE,26-9,.9213,114.2,16,89.8,23,64.5,235,-.002,193,.7244,14,104.7,41,95.2,4,.4076,279,1,1,1,1,0,0
Montana 13,145,BSky,25-6,.5473,103.5,129,101.6,175,63.8,266,+.120,3,.3421,302,99.6,212,106.1,344,.7174,11,0,0,0,0,0,0
Butler 6,52,A10,26-8,.8146,108.0,60,93.5,53,64.4,242,+.106,7,.6724,54,105.0,30,97.9,67,.5945,75,1,0,0,0,0,0
Bucknell 11,62,Pat,28-5,.7879,105.3,95,92.7,45,63.2,285,-.022,239,.4536,186,100.5,169,102.3,225,.5854,81,0,0,0,0,0,0
Marquette 3,25,BE,23-8,.8805,113.4,17,93.3,50,64.9,217,+.066,28,.7282,12,104.2,57,94.6,1,.5281,140,1,1,1,0,0,0
Davidson 14,59,SC,26-7,.7929,110.4,40,96.8,103,65.2,205,+.016,141,.3763,267,98.5,261,103.4,270,.6866,16,0,0,0,0,0,0
Illinois 7,42,B10,22-12,.8408,109.7,47,93.2,49,66.0,166,+.050,49,.7666,3,107.0,4,95.3,6,.5319,135,1,0,0,0,0,0
Colorado 10,50,P12,21-11,.8278,105.8,85,90.8,28,65.0,216,+.040,76,.7206,17,105.7,12,96.4,24,.6143,56,0,0,0,0,0,0
Miami FL 2,14,ACC,27-6,.9164,113.3,20,89.7,22,63.3,282,+.028,101,.7183,18,106.5,9,97.2,49,.6241,49,1,1,0,0,0,0
Pacific 15,121,BW,22-12,.6104,105.0,104,100.5,159,63.2,283,+.058,39,.5400,124,102.8,101,101.2,170,.7385,4,0,0,0,0,0,0
Louisville 1,2,BE,29-5,.9721,114.6,15,81.0,1,67.2,112,-.030,257,.7358,10,105.7,11,95.7,9,.5755,93,1,1,1,1,1,1
North Carolina A&T; 16,226,MEAC,19-16,.3461,89.6,317,95.3,81,66.8,127,+.017,139,.3051,328,94.9,333,102.9,247,.4691,217,0,0,0,0,0,0
Colorado St. 8,24,MWC,25-8,.8851,117.8,7,96.5,98,65.0,214,-.003,195,.6775,48,104.0,66,96.7,37,.5101,166,1,0,0,0,0,0
Missouri 9,18,SEC,23-10,.8968,115.0,13,93.1,48,67.4,103,-.026,251,.6461,73,103.5,85,97.6,60,.4713,213,0,0,0,0,0,0
Oklahoma St. 5,20,B12,24-8,.8936,108.4,56,88.1,9,67.7,94,-.014,224,.6507,71,105.2,26,99.0,97,.4710,214,0,0,0,0,0,0
Oregon 12,43,P12,26-8,.8395,104.1,121,88.6,16,68.9,46,+.063,30,.6028,95,102.8,103,98.7,86,.3268,325,1,1,0,0,0,0
St. Louis 4,16,A10,27-6,.9039,108.2,58,87.0,7,65.1,207,-.005,200,.5896,106,102.6,109,99.0,99,.4244,259,1,0,0,0,0,0
