Name+Seed,Rank,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2,W_64,W_32,W_16,W_8,W_4,W_2
Maryland 1,3,ACC,32-4,+29.25,119.2,4,89.9,7,73.7,15,+.025,104,+9.88,16,109.1,11,99.3,33,+1.62,120,1,1,1,1,1,1
Siena 16,174,MAAC,17-19,-1.21,100.8,201,102.0,141,66.5,223,-.070,296,-4.14,237,100.1,246,104.2,199,-0.42,167,0,0,0,0,0,0
Wisconsin 8,50,B10,18-13,+13.22,110.7,53,97.5,61,63.3,299,+.049,60,+10.57,12,108.9,16,98.3,14,+8.49,22,1,0,0,0,0,0
St. John's 9,76,BE,20-12,+9.06,102.7,170,93.6,24,69.1,125,+.089,11,+6.40,59,106.5,61,100.1,57,-0.79,181,0,0,0,0,0,0
Marquette 5,11,CUSA,26-7,+21.47,113.4,30,91.9,11,64.6,281,+.006,155,+5.41,72,105.5,92,100.1,60,-2.87,233,0,0,0,0,0,0
Tulsa 12,41,WAC,26-7,+15.59,116.0,16,100.4,107,69.5,110,+.001,169,+2.03,122,103.7,151,101.7,100,-1.44,202,1,0,0,0,0,0
Kentucky 4,10,SEC,22-10,+22.21,113.4,29,91.2,9,68.0,169,-.029,230,+12.97,3,110.1,6,97.1,5,+6.75,33,1,1,0,0,0,0
Valparaiso 13,47,MCon,24-8,+13.63,111.5,42,97.8,65,68.7,144,-.032,239,-1.66,196,102.9,183,104.6,216,+2.05,110,0,0,0,0,0,0
Texas Tech 6,31,B12,23-9,+17.24,114.6,21,97.4,59,69.8,96,+.061,36,+6.69,55,106.8,50,100.2,61,-0.13,159,0,0,0,0,0,0
Southern Illinois 11,49,MVC,28-8,+13.45,109.2,73,95.7,33,70.6,71,+.034,86,+2.11,119,105.2,105,103.1,148,+3.16,86,1,1,0,0,0,0
Georgia 3,25,SEC,22-9,+18.44,116.7,9,98.3,73,69.2,121,-.021,206,+9.87,17,108.1,30,98.2,12,+3.30,83,1,0,0,0,0,0
Murray St. 14,146,OVC,17-13,+1.35,106.8,106,105.5,215,69.2,122,+.017,115,-1.74,198,103.2,170,104.9,228,+3.98,76,0,0,0,0,0,0
N.C. State 7,21,ACC,23-11,+19.15,113.2,33,94.0,26,67.5,193,+.012,136,+8.27,31,108.6,20,100.4,65,-5.56,283,1,0,0,0,0,0
Michigan St. 10,32,B10,19-12,+16.86,113.0,34,96.2,38,63.3,297,-.026,219,+9.76,19,108.5,21,98.7,19,+1.51,126,0,0,0,0,0,0
Connecticut 2,18,BE,27-7,+19.36,112.2,38,92.8,18,68.7,143,+.063,31,+8.18,34,107.3,44,99.1,26,+1.72,118,1,1,1,0,0,0
Hampton 15,116,MEAC,25-7,+3.99,109.9,64,105.9,227,69.1,127,+.013,133,-8.67,291,98.3,285,107.0,292,+0.87,141,0,0,0,0,0,0
Kansas 1,4,B12,33-4,+28.99,118.7,5,89.7,6,77.3,3,+.022,109,+10.66,10,110.3,4,99.6,40,+8.32,23,1,1,1,1,0,0
Holy Cross 16,162,Pat,18-15,-0.24,98.1,245,98.4,75,62.2,313,-.048,268,-6.40,264,99.5,261,105.9,262,-3.38,246,0,0,0,0,0,0
Stanford 8,15,P10,20-10,+20.32,116.6,10,96.3,41,69.5,106,-.020,205,+10.33,13,110.2,5,99.8,48,+2.11,107,1,0,0,0,0,0
Western Kentucky 9,44,SB,26-4,+14.51,110.5,55,96.0,36,67.5,192,+.060,40,+0.23,150,103.1,177,102.8,138,+0.29,153,0,0,0,0,0,0
Florida 5,7,SEC,22-9,+24.72,115.1,19,90.4,8,69.6,103,-.073,300,+9.11,23,108.1,29,99.0,25,-0.56,173,0,0,0,0,0,0
Creighton 12,59,MVC,23-9,+11.82,111.3,47,99.5,92,66.9,213,+.029,99,+1.39,129,104.8,113,103.4,167,+0.94,138,1,0,0,0,0,0
Illinois 4,8,B10,26-9,+23.21,115.7,17,92.5,16,68.5,153,+.016,123,+10.60,11,109.7,9,99.1,29,+6.78,32,1,1,0,0,0,0
San Diego St. 13,74,MWC,21-12,+9.29,106.9,104,97.6,62,70.0,93,+.055,46,+5.64,70,106.7,53,101.1,82,+0.67,144,0,0,0,0,0,0
Texas 6,27,B12,22-12,+17.69,116.0,15,98.3,74,68.5,150,-.021,208,+10.18,15,109.1,14,98.9,23,+5.30,50,1,1,0,0,0,0
